"";"mangal_node_3385";"mangal_node_3372";"mangal_node_3382";"mangal_node_3437";"mangal_node_3383";"mangal_node_3374";"mangal_node_3563";"mangal_node_3430";"mangal_node_3381";"mangal_node_3342";"mangal_node_3431";"mangal_node_3376";"mangal_node_3373";"mangal_node_3433";"mangal_node_3435";"mangal_node_3436";"mangal_node_3386";"mangal_node_0090";"mangal_node_3379";"mangal_node_3378";"mangal_node_3345";"mangal_node_3564";"mangal_node_3439";"mangal_node_3380"
"mangal_node_3369";1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0
"mangal_node_3496";0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0
"mangal_node_3561";1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1
"mangal_node_3367";0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0
"mangal_node_3371";0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0
"mangal_node_3428";0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1
"mangal_node_3562";0;0;1;0;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0
"mangal_node_3325";0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3427";1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0
"mangal_node_3391";0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;0
"mangal_node_3329";1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0
