"";"P22_node_11079";"P22_node_8729";"P22_node_7198";"P22_node_11094";"P22_node_11080";"P22_node_7064";"P22_node_11086";"P22_node_5326";"P22_node_5354";"P22_node_7045";"P22_node_7136";"P22_node_11082";"P22_node_11084";"P22_node_11088";"P22_node_11089";"P22_node_11095";"P22_node_11092";"P22_node_11093"
"P22_node_2326";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2324";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2338";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2339";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2320";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_2340";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2341";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
"P22_node_2322";0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
"P22_node_2331";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0
"P22_node_2336";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_2342";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_2337";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2343";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2344";1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0
