"";"WOL_node_4373";"WOL_node_10719";"WOL_node_86";"WOL_node_376";"WOL_node_1446";"WOL_node_1449";"WOL_node_4757";"WOL_node_4933";"WOL_node_4934";"WOL_node_5655";"WOL_node_5656";"WOL_node_6331";"WOL_node_6379";"WOL_node_6839";"WOL_node_9047";"WOL_node_11375";"WOL_node_11387";"WOL_node_11394";"WOL_node_11549";"WOL_node_11961";"WOL_node_15340";"WOL_node_6329";"WOL_node_21";"WOL_node_3298";"WOL_node_9372";"WOL_node_11794";"WOL_node_1042";"WOL_node_10908"
"WOL_node_1031";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1366";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1361";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_10092";0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1793";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2894";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2090";0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9156";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1306";0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1375";0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_11098";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_15593";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
