"";"P22_node_6002";"P22_node_6003";"P22_node_6004";"P22_node_5354";"P22_node_6005";"P22_node_6006";"P22_node_6007";"P22_node_6008";"P22_node_6009";"P22_node_6010";"P22_node_6011";"P22_node_6012";"P22_node_6013";"P22_node_6014";"P22_node_6015";"P22_node_6016";"P22_node_6017";"P22_node_6018";"P22_node_6019";"P22_node_6020";"P22_node_6021";"P22_node_6022";"P22_node_6023";"P22_node_6024";"P22_node_6025";"P22_node_6026";"P22_node_6027";"P22_node_6028";"P22_node_6029";"P22_node_6030";"P22_node_6031";"P22_node_6032";"P22_node_6033";"P22_node_6034";"P22_node_6035";"P22_node_6036";"P22_node_6037";"P22_node_6038";"P22_node_6039";"P22_node_6040";"P22_node_6041";"P22_node_6042";"P22_node_6043";"P22_node_6044";"P22_node_6045";"P22_node_6046";"P22_node_6047";"P22_node_6048";"P22_node_6049";"P22_node_6050";"P22_node_5438";"P22_node_6051";"P22_node_6052";"P22_node_6053";"P22_node_6054";"P22_node_6055";"P22_node_6056";"P22_node_6057";"P22_node_6058";"P22_node_6059";"P22_node_6060";"P22_node_6061";"P22_node_6062";"P22_node_6063";"P22_node_6064";"P22_node_6065";"P22_node_6066";"P22_node_6067";"P22_node_6068";"P22_node_6069";"P22_node_6070";"P22_node_6071";"P22_node_6072";"P22_node_6073";"P22_node_6074";"P22_node_6075";"P22_node_6076";"P22_node_6077";"P22_node_6078";"P22_node_6079";"P22_node_5182";"P22_node_6080";"P22_node_6081";"P22_node_6082";"P22_node_5198";"P22_node_6083"
"P22_node_323";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_151";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_324";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_325";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"P22_node_326";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_327";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1
"P22_node_328";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_329";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"P22_node_330";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"P22_node_331";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
