"";"P22_node_9457";"P22_node_16029";"P22_node_15921";"P22_node_6848";"P22_node_16030";"P22_node_16031";"P22_node_12968";"P22_node_15937";"P22_node_15975";"P22_node_9472";"P22_node_6814";"P22_node_15951";"P22_node_15983";"P22_node_11906";"P22_node_13284";"P22_node_16032";"P22_node_6822";"P22_node_6824";"P22_node_15987";"P22_node_10222";"P22_node_10223";"P22_node_6807";"P22_node_13992";"P22_node_15958";"P22_node_6850";"P22_node_6851";"P22_node_7350";"P22_node_11464";"P22_node_16033";"P22_node_16034";"P22_node_16035";"P22_node_16036";"P22_node_16003";"P22_node_16037";"P22_node_16007";"P22_node_16038";"P22_node_7294";"P22_node_16039";"P22_node_16008";"P22_node_11571";"P22_node_10112";"P22_node_11589";"P22_node_16040";"P22_node_15939";"P22_node_16041";"P22_node_16010";"P22_node_6808";"P22_node_16042";"P22_node_6826";"P22_node_16013";"P22_node_16043";"P22_node_6806";"P22_node_15948";"P22_node_6812";"P22_node_15981";"P22_node_15982";"P22_node_9802";"P22_node_16018";"P22_node_5383";"P22_node_16044";"P22_node_6823";"P22_node_12993";"P22_node_7077";"P22_node_15954";"P22_node_16045";"P22_node_15955";"P22_node_15956";"P22_node_10326";"P22_node_16046";"P22_node_6845";"P22_node_16047";"P22_node_16048";"P22_node_15996";"P22_node_15997";"P22_node_16049";"P22_node_16004"
"P22_node_4665";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"P22_node_4657";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_516";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_474";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_471";0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_475";0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_472";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"P22_node_479";0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
"P22_node_547";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"P22_node_491";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
