"";"P22_node_15348";"P22_node_10247";"P22_node_15349";"P22_node_15350";"P22_node_13187";"P22_node_11358";"P22_node_11292";"P22_node_10290";"P22_node_9727";"P22_node_15351";"P22_node_15352";"P22_node_15353";"P22_node_10666";"P22_node_12642";"P22_node_15354";"P22_node_15355";"P22_node_15356";"P22_node_8849";"P22_node_10672";"P22_node_6932";"P22_node_15357";"P22_node_10268";"P22_node_11241";"P22_node_15358";"P22_node_15359";"P22_node_11577";"P22_node_11582";"P22_node_15360";"P22_node_6948";"P22_node_11613";"P22_node_10729";"P22_node_10209";"P22_node_11147";"P22_node_11291";"P22_node_15361"
"P22_node_4404";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_4405";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
"P22_node_2039";0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
"P22_node_4406";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2510";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3648";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_4407";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_4408";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"P22_node_4409";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"P22_node_4410";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0
"P22_node_4411";1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
