"";"TI_HERB_1995";"TI_HERB_1920";"TI_HERB_1926";"TI_HERB_2045";"TI_HERB_2091";"TI_HERB_2092";"TI_HERB_1929";"TI_HERB_1930";"TI_HERB_1933";"TI_HERB_1932";"TI_HERB_2001";"TI_HERB_2047";"TI_HERB_2003";"TI_HERB_1937";"TI_HERB_1935";"TI_HERB_1939";"TI_HERB_2008";"TI_HERB_2011";"TI_HERB_2093";"TI_HERB_2094";"TI_HERB_1953";"TI_HERB_1955";"TI_HERB_2058";"TI_HERB_2076";"TI_HERB_1956";"TI_HERB_1957";"TI_HERB_2095";"TI_HERB_1960";"TI_HERB_2096";"TI_HERB_2097";"TI_HERB_2098";"TI_HERB_1961";"TI_HERB_1962";"TI_HERB_825";"TI_HERB_1964";"TI_HERB_2099";"TI_HERB_2077";"TI_HERB_2078";"TI_HERB_2020";"TI_HERB_1967";"TI_HERB_2022";"TI_HERB_1968";"TI_HERB_2023";"TI_HERB_1970";"TI_HERB_1971";"TI_HERB_815";"TI_HERB_1972";"TI_HERB_1974";"TI_HERB_2079";"TI_HERB_2100";"TI_HERB_2101";"TI_HERB_2102";"TI_HERB_2103";"TI_HERB_1977";"TI_HERB_2104";"TI_HERB_2105";"TI_HERB_2034";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_1986";"TI_HERB_2106";"TI_HERB_2107";"TI_HERB_2108";"TI_HERB_2109";"TI_HERB_2110";"TI_HERB_2111"
"TI_PLANT_1922";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2414";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1926";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_2427";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1919";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2127";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2422";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2416";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_143";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2453";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2428";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
