"";"P22_node_5544";"P22_node_5802";"P22_node_6101";"P22_node_13075";"P22_node_5354";"P22_node_6964";"P22_node_6966";"P22_node_6967";"P22_node_12033";"P22_node_9126";"P22_node_9988";"P22_node_5853";"P22_node_7016";"P22_node_9204";"P22_node_8957";"P22_node_13070";"P22_node_5198"
"P22_node_622";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_628";0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
"P22_node_1331";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_1363";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3344";0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_609";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_614";0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"P22_node_1348";0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1
"P22_node_2877";0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_612";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_396";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2876";0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_1374";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
