"";"P22_node_8946";"P22_node_5314";"P22_node_13000";"P22_node_5354";"P22_node_8992";"P22_node_8783";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_8785";"P22_node_12033";"P22_node_12059";"P22_node_6968";"P22_node_9126";"P22_node_13004";"P22_node_13027";"P22_node_13068";"P22_node_5198"
"P22_node_1109";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1710";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1341";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_614";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3313";0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_734";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2766";1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1363";0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0
"P22_node_1696";0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0
"P22_node_3349";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_621";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3346";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
"P22_node_3350";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"P22_node_3351";0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
"P22_node_1349";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3347";0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1
