"";"WOL_node_3409";"WOL_node_7457";"WOL_node_1088";"WOL_node_3056";"WOL_node_12729";"WOL_node_2773";"WOL_node_3751";"WOL_node_7104";"WOL_node_10651";"WOL_node_12702";"WOL_node_9058";"WOL_node_7566"
"WOL_node_105";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_244";0;1;0;0;0;1;0;1;0;0;0;0
"WOL_node_681";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_684";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_697";1;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_725";0;1;0;0;0;1;0;1;0;0;0;0
"WOL_node_734";0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_754";0;0;0;0;1;0;0;1;0;0;0;0
"WOL_node_769";0;0;0;0;0;0;0;0;1;0;0;1
"WOL_node_770";0;0;0;0;0;0;0;0;0;1;0;1
"WOL_node_765";0;1;0;0;0;0;0;0;0;0;1;0
"WOL_node_839";0;0;0;1;0;0;0;0;0;0;0;1
"WOL_node_1620";0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_1621";0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_1622";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_1708";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1725";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_1728";0;0;1;0;0;0;0;0;0;1;0;0
"WOL_node_1729";0;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_1744";0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_1746";0;1;0;0;0;0;0;0;0;1;0;0
"WOL_node_2231";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_2232";1;0;0;0;1;0;0;0;0;0;0;1
"WOL_node_2272";0;0;0;0;1;1;0;0;0;0;0;0
"WOL_node_2322";0;0;0;0;1;0;0;0;1;0;0;0
"WOL_node_2609";0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_2610";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_2611";0;0;0;0;0;0;0;1;1;0;0;0
"WOL_node_2612";0;1;0;0;0;1;0;1;0;0;0;0
"WOL_node_2673";0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_2677";0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_2678";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_2731";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_3933";0;0;1;0;1;0;0;1;0;0;0;0
"WOL_node_3935";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4377";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_4663";0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_4816";0;0;0;0;1;1;0;0;0;0;0;0
"WOL_node_4981";0;1;0;0;0;0;0;0;0;0;1;0
"WOL_node_5012";0;0;0;1;0;0;0;1;0;1;0;0
"WOL_node_5016";0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_5036";0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_5041";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_5046";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_5094";0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_5704";0;0;0;0;0;0;1;0;0;0;1;0
"WOL_node_5720";0;0;0;0;0;0;0;0;0;0;1;0
