"";"P22_node_5920";"P22_node_5921";"P22_node_5922";"P22_node_5923";"P22_node_6742";"P22_node_5353";"P22_node_6743";"P22_node_6744";"P22_node_6745";"P22_node_6746";"P22_node_5927";"P22_node_6747";"P22_node_5929";"P22_node_5931";"P22_node_6748";"P22_node_6749";"P22_node_6750";"P22_node_6751";"P22_node_5933";"P22_node_5934";"P22_node_6752";"P22_node_6753";"P22_node_6754";"P22_node_5935";"P22_node_5936";"P22_node_5939";"P22_node_5655";"P22_node_5942";"P22_node_5943";"P22_node_5944";"P22_node_6755";"P22_node_5945";"P22_node_6001";"P22_node_6756";"P22_node_6757";"P22_node_6758";"P22_node_6759";"P22_node_5947";"P22_node_6760";"P22_node_5948";"P22_node_5950";"P22_node_5670";"P22_node_5952";"P22_node_5954";"P22_node_6761";"P22_node_6762";"P22_node_5956";"P22_node_6763";"P22_node_6764";"P22_node_6765";"P22_node_6766";"P22_node_6767";"P22_node_6768";"P22_node_6769";"P22_node_6770";"P22_node_6771";"P22_node_5160";"P22_node_6772";"P22_node_6773";"P22_node_6774";"P22_node_5960";"P22_node_6775";"P22_node_6776";"P22_node_5965";"P22_node_6777";"P22_node_5966";"P22_node_6778";"P22_node_6779";"P22_node_5967";"P22_node_6780";"P22_node_5969";"P22_node_5974";"P22_node_6781";"P22_node_5970";"P22_node_5971";"P22_node_5972";"P22_node_6782";"P22_node_6783";"P22_node_5977";"P22_node_6784";"P22_node_5979";"P22_node_5980";"P22_node_6785";"P22_node_6786";"P22_node_6787";"P22_node_6788";"P22_node_6789";"P22_node_5986";"P22_node_6790";"P22_node_6791";"P22_node_5989";"P22_node_6792";"P22_node_5990";"P22_node_5991";"P22_node_6793";"P22_node_5992";"P22_node_5993";"P22_node_6794";"P22_node_5994";"P22_node_6795";"P22_node_5729";"P22_node_5995";"P22_node_6796";"P22_node_5620";"P22_node_6797";"P22_node_6798";"P22_node_5997";"P22_node_6799";"P22_node_5998";"P22_node_5999";"P22_node_6800";"P22_node_6801";"P22_node_6802";"P22_node_6000"
"P22_node_299";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_300";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_301";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"P22_node_305";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_255";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_258";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_311";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_303";0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_265";0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_252";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
