"";"mangal_node_1766";"mangal_node_1767";"mangal_node_1768";"mangal_node_1769";"mangal_node_1770";"mangal_node_1771";"mangal_node_1772";"mangal_node_1773";"mangal_node_1774";"mangal_node_1775";"mangal_node_1776";"mangal_node_1777";"mangal_node_1778";"mangal_node_1779";"mangal_node_1780";"mangal_node_1781";"mangal_node_1782";"mangal_node_1783";"mangal_node_1784";"mangal_node_1785";"mangal_node_1786";"mangal_node_1787";"mangal_node_1788";"mangal_node_1789";"mangal_node_1790";"mangal_node_1791";"mangal_node_1792";"mangal_node_1793";"mangal_node_1794";"mangal_node_1795";"mangal_node_1796";"mangal_node_1797";"mangal_node_1798";"mangal_node_1799";"mangal_node_1808";"mangal_node_1809";"mangal_node_1810";"mangal_node_1811";"mangal_node_1812";"mangal_node_1813";"mangal_node_1814";"mangal_node_1815";"mangal_node_1816";"mangal_node_1817";"mangal_node_1818";"mangal_node_1819";"mangal_node_1820";"mangal_node_1821";"mangal_node_1822";"mangal_node_1823";"mangal_node_1862";"mangal_node_1863";"mangal_node_1864";"mangal_node_1865";"mangal_node_1867";"mangal_node_1868";"mangal_node_1869";"mangal_node_1870";"mangal_node_1801";"mangal_node_1866"
"mangal_node_1871";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_1872";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_1873";1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_1874";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_1875";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_1876";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_1877";0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_1878";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_1879";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
