"";"P22_node_7076";"P22_node_13445";"P22_node_13518";"P22_node_13519";"P22_node_13520";"P22_node_13521";"P22_node_13522";"P22_node_13523";"P22_node_13424";"P22_node_13524";"P22_node_13525";"P22_node_13526";"P22_node_13527";"P22_node_6032";"P22_node_13528";"P22_node_5612";"P22_node_13529";"P22_node_9200";"P22_node_13409";"P22_node_13530";"P22_node_13531";"P22_node_13532";"P22_node_13533";"P22_node_8580";"P22_node_13534";"P22_node_6883";"P22_node_13535";"P22_node_13536";"P22_node_13423";"P22_node_13537";"P22_node_13538";"P22_node_13539";"P22_node_12527";"P22_node_12554";"P22_node_13540";"P22_node_12490";"P22_node_13541";"P22_node_13542";"P22_node_13543";"P22_node_13544";"P22_node_13545";"P22_node_13480";"P22_node_13546";"P22_node_13547";"P22_node_13548";"P22_node_13144";"P22_node_13549";"P22_node_13550";"P22_node_5870";"P22_node_13551";"P22_node_13471";"P22_node_5215";"P22_node_6946";"P22_node_13552";"P22_node_13553";"P22_node_13554";"P22_node_13555";"P22_node_13556";"P22_node_13557";"P22_node_13558"
"P22_node_3597";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"P22_node_3629";0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"P22_node_3630";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"P22_node_3608";0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3610";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"P22_node_3631";0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
"P22_node_3606";0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"P22_node_3620";0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1
"P22_node_3104";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3632";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"P22_node_3617";0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
