"";"WOL_node_7019";"WOL_node_7207";"WOL_node_6838";"WOL_node_12718";"WOL_node_15394";"WOL_node_6334";"WOL_node_10327";"WOL_node_10696";"WOL_node_12722";"WOL_node_15397";"WOL_node_7289";"WOL_node_12720";"WOL_node_69";"WOL_node_2347";"WOL_node_2966";"WOL_node_12329";"WOL_node_9922"
"WOL_node_4736";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_770";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12152";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1727";0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0
"WOL_node_1688";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1700";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_1706";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"WOL_node_1710";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"WOL_node_10474";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_649";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_723";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"WOL_node_6684";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_6709";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_6810";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"WOL_node_7645";0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_2662";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_4702";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"WOL_node_4722";1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_4728";0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0
"WOL_node_4729";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"WOL_node_5888";0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0
"WOL_node_8424";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_12773";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_4471";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"WOL_node_4697";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
"WOL_node_2827";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
"WOL_node_8419";0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1
"WOL_node_8715";0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1
"WOL_node_8716";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_9561";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_10768";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
"WOL_node_11209";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_12395";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"WOL_node_6819";0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_7283";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_7507";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"WOL_node_10125";0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0
"WOL_node_10653";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_8664";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"WOL_node_145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_15730";0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
"WOL_node_7468";0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0
"WOL_node_10769";0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0
"WOL_node_830";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_2899";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5886";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_6912";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"WOL_node_7723";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_7771";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"WOL_node_9304";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"WOL_node_9943";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"WOL_node_11724";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12178";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_902";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0
"WOL_node_7231";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"WOL_node_10086";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"WOL_node_11100";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_12502";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"WOL_node_1404";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_8769";1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_7968";0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0
