"";"WOL_node_2419";"WOL_node_4219";"WOL_node_1415";"WOL_node_11550";"WOL_node_9525";"WOL_node_162";"WOL_node_7159";"WOL_node_11386";"WOL_node_6538";"WOL_node_6333";"WOL_node_9054";"WOL_node_7020";"WOL_node_12325";"WOL_node_4571";"WOL_node_8094";"WOL_node_9462";"WOL_node_1963";"WOL_node_11398";"WOL_node_1295";"WOL_node_1300";"WOL_node_7817"
"WOL_node_12770";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3791";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1
"WOL_node_3084";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_366";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_2763";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_863";0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"WOL_node_273";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_9467";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10411";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12282";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6525";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
"WOL_node_2817";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"WOL_node_7953";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"WOL_node_10638";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_12872";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_4245";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_13590";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_14108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_14483";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"WOL_node_14731";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_14863";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_1307";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_7124";0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
"WOL_node_11828";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_372";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2765";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"WOL_node_10028";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_6337";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6339";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6394";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
"WOL_node_7614";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_7624";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
"WOL_node_10412";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"WOL_node_9716";0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
"WOL_node_9717";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_12521";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5415";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12513";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_12516";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12517";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_12518";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2018";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_2793";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_8152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
