"";"AI22_node_2697";"AI22_node_171";"AI22_node_410";"AI22_node_411";"AI22_node_599";"AI22_node_602";"AI22_node_636";"AI22_node_646";"AI22_node_1384";"AI22_node_1386";"AI22_node_1387";"AI22_node_1389";"AI22_node_2036";"AI22_node_2024";"AI22_node_2370";"AI22_node_3085";"AI22_node_3366";"AI22_node_2061";"AI22_node_2062";"AI22_node_308";"AI22_node_313";"AI22_node_314";"AI22_node_315";"AI22_node_244";"AI22_node_1046";"AI22_node_1048"
"AI22_node_960";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_218";0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_2642";0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
"AI22_node_2921";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"AI22_node_1240";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"AI22_node_969";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"AI22_node_1375";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2500";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"AI22_node_1871";0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
"AI22_node_702";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"AI22_node_1912";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
