"";"mangal_node_3339";"mangal_node_3338";"mangal_node_3340";"mangal_node_0090";"mangal_node_3567";"mangal_node_3342";"mangal_node_3490";"mangal_node_3344";"mangal_node_3525";"mangal_node_3355";"mangal_node_3361";"mangal_node_3489";"mangal_node_3345";"mangal_node_3365";"mangal_node_3352";"mangal_node_3346";"mangal_node_3353";"mangal_node_3585";"mangal_node_3526";"mangal_node_3527";"mangal_node_3312";"mangal_node_3586";"mangal_node_3341";"mangal_node_3350";"mangal_node_3343";"mangal_node_3308";"mangal_node_3569";"mangal_node_3356";"mangal_node_3568";"mangal_node_3588";"mangal_node_3589";"mangal_node_3590";"mangal_node_3544";"mangal_node_3587"
"mangal_node_3321";1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_3478";0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0
"mangal_node_3420";0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_3325";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1
"mangal_node_3522";0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1
"mangal_node_3326";0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1
"mangal_node_3581";0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0
"mangal_node_3323";1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_3300";0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
"mangal_node_3332";0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"mangal_node_3331";0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0
"mangal_node_3582";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0
"mangal_node_3524";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;1;1
"mangal_node_3336";1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0
"mangal_node_3327";1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"mangal_node_3583";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
"mangal_node_3584";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1
