"";"P22_node_5901";"P22_node_9478";"P22_node_9479";"P22_node_9480";"P22_node_9481";"P22_node_9482";"P22_node_9483";"P22_node_9484";"P22_node_9485";"P22_node_9486";"P22_node_9487";"P22_node_9488";"P22_node_9489";"P22_node_9490";"P22_node_9491";"P22_node_9492";"P22_node_9493";"P22_node_9494";"P22_node_9495";"P22_node_9496";"P22_node_9497";"P22_node_9498";"P22_node_9499";"P22_node_9500";"P22_node_9501";"P22_node_9502";"P22_node_9503";"P22_node_5354";"P22_node_6967";"P22_node_9504";"P22_node_9505";"P22_node_9506";"P22_node_9507";"P22_node_9508";"P22_node_9509";"P22_node_9510";"P22_node_9511";"P22_node_9512";"P22_node_9513";"P22_node_9514";"P22_node_9515";"P22_node_9516";"P22_node_9517";"P22_node_9518";"P22_node_9519";"P22_node_9520";"P22_node_9521";"P22_node_9522";"P22_node_9523";"P22_node_9524";"P22_node_9525";"P22_node_9526";"P22_node_9527";"P22_node_9528";"P22_node_9529";"P22_node_9530";"P22_node_9531";"P22_node_9532";"P22_node_9533";"P22_node_9534";"P22_node_9535";"P22_node_9536";"P22_node_9537";"P22_node_9538";"P22_node_9539";"P22_node_9540";"P22_node_9541";"P22_node_9542";"P22_node_9543";"P22_node_9544";"P22_node_9545";"P22_node_9546";"P22_node_9547";"P22_node_9548";"P22_node_9549";"P22_node_9550";"P22_node_9551";"P22_node_9552";"P22_node_9553";"P22_node_9554";"P22_node_9555";"P22_node_9556";"P22_node_9557";"P22_node_9558";"P22_node_9559";"P22_node_9560";"P22_node_9561";"P22_node_9562";"P22_node_9563";"P22_node_9564";"P22_node_9565";"P22_node_9566";"P22_node_9567";"P22_node_9568";"P22_node_8887";"P22_node_9192";"P22_node_5877";"P22_node_9569";"P22_node_9570";"P22_node_9571";"P22_node_7019";"P22_node_9572";"P22_node_9573";"P22_node_9574";"P22_node_9575";"P22_node_9576";"P22_node_9577";"P22_node_9578";"P22_node_5506";"P22_node_9579";"P22_node_9580";"P22_node_9581";"P22_node_9582";"P22_node_8906";"P22_node_9583";"P22_node_8909";"P22_node_9584";"P22_node_9585";"P22_node_9586"
"P22_node_1526";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1527";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1
"P22_node_667";0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
"P22_node_1528";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1529";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"P22_node_1530";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1170";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1531";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1532";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1533";0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
