"";"P22_node_8951";"P22_node_12243";"P22_node_6695";"P22_node_8587";"P22_node_9290";"P22_node_8765";"P22_node_5701";"P22_node_12260";"P22_node_12244";"P22_node_5755";"P22_node_12245";"P22_node_12261";"P22_node_8974";"P22_node_5354";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_6747";"P22_node_6967";"P22_node_12262";"P22_node_8916";"P22_node_12247";"P22_node_12249";"P22_node_12263";"P22_node_12264";"P22_node_9066";"P22_node_5802";"P22_node_6970";"P22_node_6971";"P22_node_12216";"P22_node_12252";"P22_node_5952";"P22_node_9134";"P22_node_12217";"P22_node_5853";"P22_node_9156";"P22_node_12209";"P22_node_9159";"P22_node_5859";"P22_node_9079";"P22_node_12265";"P22_node_12266";"P22_node_12211";"P22_node_8881";"P22_node_12267";"P22_node_12212";"P22_node_12268";"P22_node_7016";"P22_node_8957";"P22_node_7018";"P22_node_12269";"P22_node_7019";"P22_node_9225";"P22_node_7021";"P22_node_5295";"P22_node_7022";"P22_node_6070";"P22_node_12257";"P22_node_12213";"P22_node_9025";"P22_node_5912";"P22_node_8818";"P22_node_9021";"P22_node_8906";"P22_node_5198";"P22_node_9583";"P22_node_8922";"P22_node_9319"
"P22_node_616";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1350";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2872";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_626";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_619";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2877";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"P22_node_1629";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2873";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2899";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_627";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
