"";"P22_node_13846";"P22_node_14677";"P22_node_5354";"P22_node_10835";"P22_node_13843";"P22_node_10858";"P22_node_14123";"P22_node_13852";"P22_node_5119";"P22_node_15413";"P22_node_13859";"P22_node_10492";"P22_node_13842";"P22_node_14142";"P22_node_10811";"P22_node_10494";"P22_node_16374";"P22_node_13865";"P22_node_16392";"P22_node_12797";"P22_node_9644";"P22_node_13857";"P22_node_16362";"P22_node_16369";"P22_node_12823";"P22_node_14103";"P22_node_14033";"P22_node_16371";"P22_node_10839";"P22_node_14019";"P22_node_10856";"P22_node_16390";"P22_node_10495";"P22_node_15098";"P22_node_6036";"P22_node_14034";"P22_node_13830";"P22_node_16364";"P22_node_13836";"P22_node_10793";"P22_node_14093";"P22_node_12824";"P22_node_13863";"P22_node_13855";"P22_node_15087";"P22_node_16393";"P22_node_13862";"P22_node_10493";"P22_node_12043";"P22_node_13840"
"P22_node_4885";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4886";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3800";0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1720";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_1721";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0
"P22_node_4887";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4855";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_4856";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2750";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3795";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
