"";"TI_HERB_1448";"TI_HERB_1449";"TI_HERB_1450";"TI_HERB_1451";"TI_HERB_1452";"TI_HERB_1453";"TI_HERB_1454";"TI_HERB_1455";"TI_HERB_1456";"TI_HERB_1457";"TI_HERB_1458";"TI_HERB_1459";"TI_HERB_1460";"TI_HERB_1461";"TI_HERB_1462";"TI_HERB_1463";"TI_HERB_1464";"TI_HERB_1465";"TI_HERB_1466";"TI_HERB_1467";"TI_HERB_1468";"TI_HERB_1469";"TI_HERB_1470";"TI_HERB_1471";"TI_HERB_1472";"TI_HERB_1473";"TI_HERB_1474";"TI_HERB_1475";"TI_HERB_1476";"TI_HERB_1477";"TI_HERB_1478";"TI_HERB_1479";"TI_HERB_1480";"TI_HERB_1481";"TI_HERB_1482";"TI_HERB_1483";"TI_HERB_1484";"TI_HERB_1485";"TI_HERB_1486";"TI_HERB_1487";"TI_HERB_1488";"TI_HERB_1489";"TI_HERB_1490";"TI_HERB_1491";"TI_HERB_1492";"TI_HERB_1493";"TI_HERB_1494";"TI_HERB_1495";"TI_HERB_1496";"TI_HERB_1497";"TI_HERB_1498";"TI_HERB_1499";"TI_HERB_1500";"TI_HERB_1501";"TI_HERB_1502";"TI_HERB_1503";"TI_HERB_1504";"TI_HERB_1505";"TI_HERB_1506";"TI_HERB_1507";"TI_HERB_1508";"TI_HERB_1509";"TI_HERB_1510";"TI_HERB_1511";"TI_HERB_1512";"TI_HERB_1513";"TI_HERB_1514";"TI_HERB_1515";"TI_HERB_1516";"TI_HERB_1517";"TI_HERB_1518";"TI_HERB_1519";"TI_HERB_1520";"TI_HERB_1521";"TI_HERB_1522";"TI_HERB_1523";"TI_HERB_1524";"TI_HERB_1525";"TI_HERB_1526";"TI_HERB_1527";"TI_HERB_1528";"TI_HERB_1529";"TI_HERB_1530";"TI_HERB_1531";"TI_HERB_1532";"TI_HERB_1533";"TI_HERB_1534";"TI_HERB_1535";"TI_HERB_1536";"TI_HERB_1537";"TI_HERB_1538";"TI_HERB_1539";"TI_HERB_1540";"TI_HERB_1541";"TI_HERB_1542";"TI_HERB_1543";"TI_HERB_1544";"TI_HERB_1545";"TI_HERB_1546";"TI_HERB_1547";"TI_HERB_1548";"TI_HERB_1549";"TI_HERB_1550";"TI_HERB_1551";"TI_HERB_1552";"TI_HERB_1553";"TI_HERB_1554";"TI_HERB_1555";"TI_HERB_1556";"TI_HERB_1557";"TI_HERB_1558";"TI_HERB_1559";"TI_HERB_1560";"TI_HERB_1561";"TI_HERB_1562";"TI_HERB_1563";"TI_HERB_1564";"TI_HERB_1565";"TI_HERB_1566";"TI_HERB_1567";"TI_HERB_1568";"TI_HERB_1569";"TI_HERB_1570";"TI_HERB_1571";"TI_HERB_1572";"TI_HERB_1573";"TI_HERB_1574";"TI_HERB_1575";"TI_HERB_1576";"TI_HERB_1577";"TI_HERB_1578";"TI_HERB_1579";"TI_HERB_1580";"TI_HERB_1581";"TI_HERB_1582";"TI_HERB_1583";"TI_HERB_1584";"TI_HERB_1585";"TI_HERB_1586";"TI_HERB_1587";"TI_HERB_1588";"TI_HERB_1589";"TI_HERB_1590";"TI_HERB_1591";"TI_HERB_1592";"TI_HERB_1593";"TI_HERB_1594";"TI_HERB_1595";"TI_HERB_1596";"TI_HERB_1597";"TI_HERB_1598";"TI_HERB_1599";"TI_HERB_1600";"TI_HERB_1601";"TI_HERB_1602";"TI_HERB_1603";"TI_HERB_1604";"TI_HERB_1605";"TI_HERB_1606";"TI_HERB_1607";"TI_HERB_1608";"TI_HERB_1609";"TI_HERB_1610";"TI_HERB_1611";"TI_HERB_1612";"TI_HERB_1613";"TI_HERB_1614";"TI_HERB_1615";"TI_HERB_1616";"TI_HERB_1617";"TI_HERB_1618";"TI_HERB_1619";"TI_HERB_1620";"TI_HERB_1621";"TI_HERB_1622";"TI_HERB_1623";"TI_HERB_1624";"TI_HERB_1625";"TI_HERB_1626";"TI_HERB_1627";"TI_HERB_1628";"TI_HERB_1629";"TI_HERB_1630";"TI_HERB_1631";"TI_HERB_1632";"TI_HERB_1633";"TI_HERB_1634";"TI_HERB_1635";"TI_HERB_1636";"TI_HERB_1637";"TI_HERB_1638";"TI_HERB_1639";"TI_HERB_1640";"TI_HERB_1641";"TI_HERB_1642";"TI_HERB_1643";"TI_HERB_1644";"TI_HERB_1645";"TI_HERB_1646";"TI_HERB_1647";"TI_HERB_1648";"TI_HERB_1649";"TI_HERB_1650";"TI_HERB_1651";"TI_HERB_1652";"TI_HERB_1653";"TI_HERB_1654";"TI_HERB_1655";"TI_HERB_1656";"TI_HERB_1657";"TI_HERB_1658";"TI_HERB_1659";"TI_HERB_1660";"TI_HERB_1661";"TI_HERB_1662";"TI_HERB_1663";"TI_HERB_1664";"TI_HERB_1665";"TI_HERB_1666";"TI_HERB_1667";"TI_HERB_1668";"TI_HERB_1669";"TI_HERB_1670"
"TI_PLANT_1888";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_1889";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"TI_PLANT_1890";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"TI_PLANT_1891";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1892";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_1893";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1894";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1895";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"TI_PLANT_1896";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1897";0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
