"";"TI_HERB_5391";"TI_HERB_5392";"TI_HERB_4896";"TI_HERB_16";"TI_HERB_5393";"TI_HERB_4873";"TI_HERB_5394";"TI_HERB_5395";"TI_HERB_60";"TI_HERB_4920";"TI_HERB_4908";"TI_HERB_5396";"TI_HERB_4864";"TI_HERB_22";"TI_HERB_23"
"TI_PLANT_4912";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2152";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4913";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_712";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_853";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2879";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_2834";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"TI_PLANT_2849";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4914";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_2439";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_4915";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_2478";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"TI_PLANT_4916";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4917";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4918";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"TI_PLANT_4919";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
