"";"P22_node_6434";"P22_node_13648";"P22_node_13645";"P22_node_13655";"P22_node_13656";"P22_node_9198";"P22_node_13664";"P22_node_7016";"P22_node_13647";"P22_node_7025";"P22_node_13057";"P22_node_10078";"P22_node_13646";"P22_node_13700";"P22_node_13686";"P22_node_13701";"P22_node_13702";"P22_node_13682";"P22_node_8783";"P22_node_5771";"P22_node_6966";"P22_node_13652";"P22_node_9898";"P22_node_9899";"P22_node_13644";"P22_node_5802";"P22_node_13703";"P22_node_13667";"P22_node_9171";"P22_node_13689";"P22_node_12223";"P22_node_13675";"P22_node_13666";"P22_node_13657";"P22_node_13661";"P22_node_13659";"P22_node_7021";"P22_node_13704";"P22_node_13698";"P22_node_9876";"P22_node_7446";"P22_node_9218";"P22_node_13699"
"P22_node_3653";1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_3661";0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1
"P22_node_625";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0
"P22_node_1348";0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
"P22_node_150";0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0
"P22_node_3655";1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"P22_node_2877";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1327";0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_622";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1
"P22_node_2766";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1363";0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1111";1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
