"";"D22net16_col_2";"D22net16_col_3";"D22net16_col_4";"D22net16_col_5";"D22net16_col_6";"D22net16_col_7";"D22net16_col_8";"D22net16_col_9";"D22net16_col_10";"D22net16_col_11";"D22net16_col_12";"D22net16_col_13";"D22net16_col_14";"D22net16_col_15";"D22net16_col_16";"D22net16_col_17";"D22net16_col_18";"D22net16_col_19";"D22net16_col_20";"D22net16_col_21";"D22net16_col_22";"D22net16_col_23";"D22net16_col_24";"D22net16_col_25";"D22net16_col_26";"D22net16_col_27";"D22net16_col_28";"D22net16_col_29";"D22net16_col_30";"D22net16_col_31";"D22net16_col_32";"D22net16_col_33";"D22net16_col_34";"D22net16_col_35";"D22net16_col_36";"D22net16_col_37";"D22net16_col_38";"D22net16_col_39";"D22net16_col_40";"D22net16_col_41";"D22net16_col_42";"D22net16_col_43";"D22net16_col_44";"D22net16_col_45";"D22net16_col_46";"D22net16_col_47";"D22net16_col_48";"D22net16_col_49";"D22net16_col_50";"D22net16_col_51";"D22net16_col_52";"D22net16_col_1";"D22net16_col_53";"D22net16_col_54";"D22net16_col_55";"D22net16_col_56";"D22net16_col_57";"D22net16_col_58";"D22net16_col_59";"D22net16_col_60";"D22net16_col_61";"D22net16_col_62";"D22net16_col_63";"D22net16_col_64";"D22net16_col_65";"D22net16_col_66";"D22net16_col_67";"D22net16_col_68";"D22net16_col_69";"D22net16_col_70";"D22net16_col_71";"D22net16_col_72";"D22net16_col_73";"D22net16_col_74";"D22net16_col_75";"D22net16_col_76";"D22net16_col_77";"D22net16_col_78"
"D22net16_row_1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"D22net16_row_2";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"D22net16_row_3";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"D22net16_row_4";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"D22net16_row_5";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net16_row_6";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"D22net16_row_7";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"D22net16_row_8";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net16_row_9";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"D22net16_row_10";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
