"";"TI_HERB_2443";"TI_HERB_2444";"TI_HERB_2445";"TI_HERB_2446";"TI_HERB_2447";"TI_HERB_2448";"TI_HERB_2449";"TI_HERB_2450";"TI_HERB_2451";"TI_HERB_2452";"TI_HERB_2453";"TI_HERB_2454";"TI_HERB_2455";"TI_HERB_2456";"TI_HERB_2457";"TI_HERB_2458";"TI_HERB_2459";"TI_HERB_2460";"TI_HERB_2461";"TI_HERB_2462";"TI_HERB_2463";"TI_HERB_2464";"TI_HERB_2465";"TI_HERB_2466";"TI_HERB_2467";"TI_HERB_2468";"TI_HERB_2469";"TI_HERB_2470";"TI_HERB_2471";"TI_HERB_2472";"TI_HERB_2473";"TI_HERB_2474";"TI_HERB_2475";"TI_HERB_2476";"TI_HERB_2477";"TI_HERB_2478";"TI_HERB_2479";"TI_HERB_2480";"TI_HERB_2481";"TI_HERB_2482";"TI_HERB_2483";"TI_HERB_1853";"TI_HERB_2484";"TI_HERB_2485";"TI_HERB_2486";"TI_HERB_2487";"TI_HERB_2488";"TI_HERB_2489";"TI_HERB_2490";"TI_HERB_1865";"TI_HERB_1866";"TI_HERB_2491";"TI_HERB_1867";"TI_HERB_2492";"TI_HERB_2493";"TI_HERB_2494";"TI_HERB_2495";"TI_HERB_2496";"TI_HERB_2497";"TI_HERB_2498";"TI_HERB_2499";"TI_HERB_2500";"TI_HERB_2501";"TI_HERB_2502";"TI_HERB_2503";"TI_HERB_2504";"TI_HERB_2505";"TI_HERB_2506";"TI_HERB_2507";"TI_HERB_2508";"TI_HERB_2509";"TI_HERB_2510";"TI_HERB_2511";"TI_HERB_2512";"TI_HERB_2513";"TI_HERB_2514";"TI_HERB_2515";"TI_HERB_2516";"TI_HERB_2517";"TI_HERB_2518";"TI_HERB_2519";"TI_HERB_2520";"TI_HERB_2521";"TI_HERB_2522";"TI_HERB_2523";"TI_HERB_2524";"TI_HERB_2525"
"TI_PLANT_2584";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2585";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_2586";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_2587";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2588";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2589";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2590";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_2591";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2592";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_2593";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
