"";"M22_node_2216";"M22_node_2403";"M22_node_737";"M22_node_2393";"M22_node_866";"M22_node_1619";"M22_node_804";"M22_node_2217";"M22_node_1624";"M22_node_885"
"M22_node_2061";1;0;0;0;0;0;1;0;0;0
"M22_node_2447";0;1;0;1;1;0;1;0;0;0
"M22_node_956";0;0;1;0;0;0;0;1;1;1
"M22_node_323";0;0;0;1;0;0;0;1;0;0
"M22_node_8";0;0;0;0;1;0;0;0;1;0
"M22_node_106";0;0;0;0;0;1;0;0;0;0
"M22_node_1731";0;0;0;0;0;0;1;0;0;0
"M22_node_1809";1;0;0;0;0;0;0;1;0;0
"M22_node_2036";1;0;0;0;1;0;0;0;1;1
"M22_node_2137";1;0;0;0;0;0;1;0;0;1
"M22_node_2149";1;0;0;1;1;0;0;0;0;0
