"";"TI_HERB_4323";"TI_HERB_4169";"TI_HERB_4324";"TI_HERB_4325";"TI_HERB_4326";"TI_HERB_4260";"TI_HERB_4174";"TI_HERB_4327";"TI_HERB_4179";"TI_HERB_4180";"TI_HERB_4328";"TI_HERB_4185";"TI_HERB_4186";"TI_HERB_4329";"TI_HERB_4330";"TI_HERB_4192";"TI_HERB_4269";"TI_HERB_4193";"TI_HERB_4270";"TI_HERB_4331";"TI_HERB_4271";"TI_HERB_4332";"TI_HERB_4333";"TI_HERB_4274";"TI_HERB_4334";"TI_HERB_4198";"TI_HERB_4335";"TI_HERB_4277";"TI_HERB_4336";"TI_HERB_4203";"TI_HERB_4204";"TI_HERB_4337";"TI_HERB_4338";"TI_HERB_4339";"TI_HERB_4340";"TI_HERB_4209";"TI_HERB_4341";"TI_HERB_4342";"TI_HERB_4213";"TI_HERB_4343";"TI_HERB_4344";"TI_HERB_4345";"TI_HERB_4346";"TI_HERB_4347";"TI_HERB_4348";"TI_HERB_4349";"TI_HERB_4216";"TI_HERB_4217";"TI_HERB_4218";"TI_HERB_4350";"TI_HERB_4223";"TI_HERB_4351";"TI_HERB_4225";"TI_HERB_4352";"TI_HERB_4353";"TI_HERB_4354";"TI_HERB_4231";"TI_HERB_4355";"TI_HERB_4356";"TI_HERB_4357";"TI_HERB_4358";"TI_HERB_4359";"TI_HERB_4360";"TI_HERB_4361";"TI_HERB_4306";"TI_HERB_4362";"TI_HERB_4363";"TI_HERB_4364";"TI_HERB_4365";"TI_HERB_4366";"TI_HERB_4367";"TI_HERB_4368";"TI_HERB_4369";"TI_HERB_4370";"TI_HERB_4371";"TI_HERB_4372";"TI_HERB_4373";"TI_HERB_4374";"TI_HERB_4375";"TI_HERB_4376";"TI_HERB_4377";"TI_HERB_4378";"TI_HERB_4379";"TI_HERB_4252"
"TI_PLANT_3712";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3702";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3728";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3748";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3749";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_3721";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
"TI_PLANT_3750";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3751";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3724";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3752";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
