"";"M22_node_2281";"M22_node_2395";"M22_node_2406";"M22_node_141";"M22_node_380";"M22_node_705";"M22_node_699";"M22_node_2455";"M22_node_2515";"M22_node_1371";"M22_node_707";"M22_node_1765";"M22_node_1657";"M22_node_2368";"M22_node_2380";"M22_node_585";"M22_node_296";"M22_node_1774";"M22_node_1636";"M22_node_2185";"M22_node_2367"
"M22_node_1475";1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
"M22_node_48";1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
"M22_node_1465";0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1
"M22_node_2036";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_63";0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
"M22_node_345";0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
"M22_node_2061";0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"M22_node_1531";1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0
"M22_node_348";0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;1
"M22_node_577";0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0
"M22_node_1464";0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
"M22_node_1845";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_2147";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0
"M22_node_1414";0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0
"M22_node_2148";0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1
"M22_node_2213";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0
"M22_node_2003";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
"M22_node_191";0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
