"";"P22_node_5321";"P22_node_5322";"P22_node_5323";"P22_node_5324";"P22_node_5325";"P22_node_5326";"P22_node_5327";"P22_node_5221";"P22_node_5328";"P22_node_5329";"P22_node_5330";"P22_node_5331";"P22_node_5332";"P22_node_5333";"P22_node_5334";"P22_node_5335";"P22_node_5336";"P22_node_5337";"P22_node_5338";"P22_node_5339";"P22_node_5340";"P22_node_5341";"P22_node_5342";"P22_node_5343";"P22_node_5344";"P22_node_5345";"P22_node_5346";"P22_node_5347";"P22_node_5348";"P22_node_5349";"P22_node_5350";"P22_node_5351";"P22_node_5352";"P22_node_5353";"P22_node_5354";"P22_node_5355";"P22_node_5356";"P22_node_5357";"P22_node_5358";"P22_node_5359";"P22_node_5360";"P22_node_5361";"P22_node_5362";"P22_node_5363";"P22_node_5364";"P22_node_5365";"P22_node_5366";"P22_node_5367";"P22_node_5368";"P22_node_5369";"P22_node_5370";"P22_node_5371";"P22_node_5372";"P22_node_5373";"P22_node_5374";"P22_node_5375";"P22_node_5376";"P22_node_5377";"P22_node_5378";"P22_node_5379";"P22_node_5380";"P22_node_5381";"P22_node_5382";"P22_node_5383";"P22_node_5384";"P22_node_5385";"P22_node_5386";"P22_node_5387";"P22_node_5388";"P22_node_5389";"P22_node_5390";"P22_node_5391";"P22_node_5392";"P22_node_5393";"P22_node_5394";"P22_node_5395";"P22_node_5396";"P22_node_5397";"P22_node_5398";"P22_node_5399";"P22_node_5400";"P22_node_5401";"P22_node_5402";"P22_node_5403";"P22_node_5404";"P22_node_5138";"P22_node_5405";"P22_node_5406";"P22_node_5407";"P22_node_5408";"P22_node_5409";"P22_node_5410";"P22_node_5411";"P22_node_5412";"P22_node_5413";"P22_node_5414";"P22_node_5415";"P22_node_5416";"P22_node_5417";"P22_node_5418";"P22_node_5419";"P22_node_5420";"P22_node_5421";"P22_node_5422";"P22_node_5423";"P22_node_5424";"P22_node_5425";"P22_node_5426";"P22_node_5427";"P22_node_5428";"P22_node_5429";"P22_node_5430";"P22_node_5431";"P22_node_5432";"P22_node_5433";"P22_node_5434";"P22_node_5435";"P22_node_5436";"P22_node_5437";"P22_node_5438";"P22_node_5439";"P22_node_5440";"P22_node_5441";"P22_node_5442";"P22_node_5443";"P22_node_5444";"P22_node_5445";"P22_node_5446";"P22_node_5447";"P22_node_5448";"P22_node_5449";"P22_node_5450";"P22_node_5451";"P22_node_5452";"P22_node_5453";"P22_node_5454";"P22_node_5455";"P22_node_5456";"P22_node_5457";"P22_node_5458";"P22_node_5459";"P22_node_5460";"P22_node_5461";"P22_node_5462";"P22_node_5463";"P22_node_5464";"P22_node_5465";"P22_node_5466";"P22_node_5467";"P22_node_5468";"P22_node_5469";"P22_node_5470";"P22_node_5471";"P22_node_5472";"P22_node_5473";"P22_node_5474";"P22_node_5475";"P22_node_5476";"P22_node_5477";"P22_node_5478";"P22_node_5479";"P22_node_5480";"P22_node_5481";"P22_node_5482";"P22_node_5483";"P22_node_5484";"P22_node_5485";"P22_node_5486";"P22_node_5487";"P22_node_5488";"P22_node_5489";"P22_node_5490";"P22_node_5491";"P22_node_5492";"P22_node_5493";"P22_node_5494";"P22_node_5495";"P22_node_5496";"P22_node_5497";"P22_node_5498";"P22_node_5499";"P22_node_5500";"P22_node_5501";"P22_node_5502";"P22_node_5503";"P22_node_5504";"P22_node_5505";"P22_node_5506";"P22_node_5507";"P22_node_5508";"P22_node_5509";"P22_node_5510";"P22_node_5511";"P22_node_5512";"P22_node_5513";"P22_node_5514";"P22_node_5295";"P22_node_5515";"P22_node_5516";"P22_node_5517";"P22_node_5518";"P22_node_5519";"P22_node_5520";"P22_node_5521";"P22_node_5522";"P22_node_5523";"P22_node_5524";"P22_node_5525";"P22_node_5526";"P22_node_5527";"P22_node_5528";"P22_node_5529";"P22_node_5530";"P22_node_5531";"P22_node_5532";"P22_node_5533";"P22_node_5534";"P22_node_5535";"P22_node_5536";"P22_node_5537";"P22_node_5538";"P22_node_5539";"P22_node_5540";"P22_node_5541";"P22_node_5542";"P22_node_5543";"P22_node_5544";"P22_node_5545";"P22_node_5546";"P22_node_5547";"P22_node_5548";"P22_node_5549";"P22_node_5550";"P22_node_5551";"P22_node_5552";"P22_node_5553";"P22_node_5554";"P22_node_5555";"P22_node_5556";"P22_node_5557";"P22_node_5558";"P22_node_5559";"P22_node_5560";"P22_node_5561";"P22_node_5562";"P22_node_5563";"P22_node_5564";"P22_node_5565";"P22_node_5566";"P22_node_5567";"P22_node_5568";"P22_node_5569";"P22_node_5570";"P22_node_5571";"P22_node_5572";"P22_node_5573";"P22_node_5574";"P22_node_5575";"P22_node_5576";"P22_node_5577";"P22_node_5578";"P22_node_5579";"P22_node_5580";"P22_node_5581";"P22_node_5582";"P22_node_5583";"P22_node_5584";"P22_node_5585";"P22_node_5198";"P22_node_5586";"P22_node_5587";"P22_node_5588";"P22_node_5589";"P22_node_5590";"P22_node_5591"
"P22_node_144";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_145";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_146";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_147";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_148";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_149";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_150";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"P22_node_151";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_152";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_153";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
