"";"TI_HERB_897";"TI_HERB_898";"TI_HERB_899";"TI_HERB_900";"TI_HERB_901";"TI_HERB_902";"TI_HERB_903";"TI_HERB_904";"TI_HERB_905";"TI_HERB_906"
"TI_PLANT_748";1;0;0;0;0;0;0;0;0;0
"TI_PLANT_749";0;1;0;0;0;0;0;0;0;0
"TI_PLANT_750";0;0;1;0;0;0;0;0;0;0
"TI_PLANT_751";0;0;0;1;0;0;0;0;0;0
"TI_PLANT_752";0;0;0;0;1;0;0;0;0;0
"TI_PLANT_753";0;0;0;0;0;1;0;0;0;0
"TI_PLANT_754";0;0;0;0;0;0;1;0;0;0
"TI_PLANT_755";1;0;0;0;1;0;0;1;1;0
"TI_PLANT_756";0;0;0;0;0;0;0;0;1;0
"TI_PLANT_757";0;0;0;0;0;0;0;0;0;1
"TI_PLANT_758";0;0;1;0;0;0;0;0;0;0
"TI_PLANT_759";0;0;0;0;0;1;0;0;0;0
"TI_PLANT_760";0;0;1;0;0;0;0;0;0;0
"TI_PLANT_761";0;0;0;1;0;0;0;0;0;0
"TI_PLANT_762";0;1;0;0;0;0;0;1;0;0
