"";"P22_node_12548";"P22_node_12273";"P22_node_10507";"P22_node_12275";"P22_node_12277";"P22_node_10339";"P22_node_12549";"P22_node_12532";"P22_node_12550";"P22_node_12551";"P22_node_12301";"P22_node_12288";"P22_node_12552";"P22_node_12278";"P22_node_10392";"P22_node_5354";"P22_node_12533";"P22_node_12310";"P22_node_12304";"P22_node_12307";"P22_node_12308";"P22_node_12553";"P22_node_10345";"P22_node_12534";"P22_node_12554";"P22_node_12313";"P22_node_12315";"P22_node_12555";"P22_node_12556";"P22_node_10990";"P22_node_12321";"P22_node_12537";"P22_node_5385";"P22_node_10354";"P22_node_10355";"P22_node_10356";"P22_node_12326";"P22_node_12557";"P22_node_5138";"P22_node_12344";"P22_node_12346";"P22_node_12347";"P22_node_12295";"P22_node_10368";"P22_node_10761";"P22_node_12535";"P22_node_12370";"P22_node_12539";"P22_node_6036";"P22_node_12384";"P22_node_12385";"P22_node_12558";"P22_node_5438";"P22_node_12323";"P22_node_12402";"P22_node_12403";"P22_node_12559";"P22_node_12540";"P22_node_12418";"P22_node_12560";"P22_node_12561";"P22_node_12423";"P22_node_12543";"P22_node_12429";"P22_node_12562";"P22_node_12563";"P22_node_12440";"P22_node_12441";"P22_node_12442";"P22_node_12545";"P22_node_12564";"P22_node_12565";"P22_node_12546";"P22_node_12291";"P22_node_12547";"P22_node_12450";"P22_node_12451";"P22_node_10389";"P22_node_12566";"P22_node_10390";"P22_node_12453";"P22_node_12538";"P22_node_12567";"P22_node_12568";"P22_node_12336";"P22_node_12465"
"P22_node_2911";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3117";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3122";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_495";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2933";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"P22_node_563";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2906";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0
"P22_node_970";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2907";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2943";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
