"";"M22_node_707";"M22_node_1438";"M22_node_2278";"M22_node_2379";"M22_node_2406";"M22_node_2515";"M22_node_2380";"M22_node_585";"M22_node_361";"M22_node_1434";"M22_node_2281"
"M22_node_165";1;0;0;0;0;0;0;0;0;0;0
"M22_node_412";0;1;0;0;0;0;0;0;0;0;0
"M22_node_611";0;0;1;0;1;0;0;0;0;0;1
"M22_node_771";0;0;0;1;0;0;0;0;0;1;0
"M22_node_772";0;0;0;0;1;0;0;0;0;0;0
"M22_node_1455";0;0;0;1;1;1;0;0;0;0;0
"M22_node_1849";0;0;0;0;0;0;1;1;0;1;1
"M22_node_2096";0;1;0;0;0;0;0;1;0;1;1
"M22_node_2212";0;1;0;0;0;1;0;0;1;0;0
"M22_node_2365";0;0;0;0;0;0;0;1;0;1;0
