"";"WOL_node_7494";"WOL_node_19";"WOL_node_364";"WOL_node_1550";"WOL_node_1654";"WOL_node_1773";"WOL_node_1884";"WOL_node_1904";"WOL_node_1906";"WOL_node_2129";"WOL_node_2290";"WOL_node_2295";"WOL_node_2381";"WOL_node_2524";"WOL_node_3074";"WOL_node_3286";"WOL_node_3290";"WOL_node_3293";"WOL_node_4669";"WOL_node_4771";"WOL_node_6875";"WOL_node_5271";"WOL_node_5277";"WOL_node_5337";"WOL_node_5421";"WOL_node_5422";"WOL_node_5423";"WOL_node_5457";"WOL_node_5611";"WOL_node_5614";"WOL_node_5618";"WOL_node_5619";"WOL_node_5621";"WOL_node_5825";"WOL_node_5835";"WOL_node_6018";"WOL_node_6439";"WOL_node_6458";"WOL_node_6489";"WOL_node_6582";"WOL_node_6596";"WOL_node_6630";"WOL_node_6869";"WOL_node_7410";"WOL_node_7411";"WOL_node_7734";"WOL_node_8177";"WOL_node_8861";"WOL_node_9133";"WOL_node_9137";"WOL_node_9146";"WOL_node_9362";"WOL_node_9892";"WOL_node_10358";"WOL_node_10359";"WOL_node_10360";"WOL_node_10361";"WOL_node_10362";"WOL_node_10363";"WOL_node_10739";"WOL_node_10934";"WOL_node_10979";"WOL_node_11028";"WOL_node_11034";"WOL_node_11068"
"WOL_node_435";1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0
"WOL_node_249";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_430";1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_3114";0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1
"WOL_node_8697";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2000";0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_15273";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_9542";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"WOL_node_4274";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0
"WOL_node_1643";0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
