"";"mangal_node_6861";"mangal_node_6891";"mangal_node_6852";"mangal_node_6897";"mangal_node_6855";"mangal_node_6655";"mangal_node_5792";"mangal_node_6941";"mangal_node_6888";"mangal_node_6937";"mangal_node_3255";"mangal_node_6856";"mangal_node_6879";"mangal_node_6851";"mangal_node_3166";"mangal_node_6939";"mangal_node_6938";"mangal_node_6940";"mangal_node_6883";"mangal_node_6850";"mangal_node_3198";"mangal_node_6936";"mangal_node_6922";"mangal_node_6881";"mangal_node_6889"
"mangal_node_6868";1;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0
"mangal_node_3275";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"mangal_node_6867";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"mangal_node_6914";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"mangal_node_6930";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
"mangal_node_6916";1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_6893";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"mangal_node_3281";0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
"mangal_node_6915";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_6918";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_6869";0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;0
