"";"M22_node_2281";"M22_node_709";"M22_node_2395";"M22_node_380";"M22_node_296";"M22_node_1765";"M22_node_2314";"M22_node_1371";"M22_node_2406";"M22_node_129";"M22_node_2455";"M22_node_1657";"M22_node_705";"M22_node_778";"M22_node_141"
"M22_node_48";1;1;0;0;0;0;0;0;0;0;0;1;1;1;0
"M22_node_191";0;1;0;0;1;1;0;1;0;0;0;0;0;0;1
"M22_node_2433";0;1;1;1;0;1;1;1;0;1;0;1;1;0;0
"M22_node_2061";0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
"M22_node_412";0;0;0;0;1;0;1;0;0;0;1;1;1;1;0
"M22_node_2096";0;1;1;1;0;1;0;1;1;0;0;0;0;1;0
"M22_node_1875";0;0;0;1;0;1;1;1;1;0;1;0;1;1;1
"M22_node_771";0;0;1;1;0;0;0;1;1;0;1;0;1;0;1
"M22_node_1475";0;0;1;0;0;0;0;1;1;0;0;1;0;0;0
"M22_node_1845";1;0;0;0;0;0;0;1;0;1;1;1;1;0;0
"M22_node_2030";1;1;1;1;0;1;0;0;0;0;1;0;0;1;0
