"";"P22_node_6854";"P22_node_7084";"P22_node_5354";"P22_node_7085";"P22_node_5382";"P22_node_5783";"P22_node_5424";"P22_node_5843";"P22_node_5612";"P22_node_7076";"P22_node_7086";"P22_node_5198"
"P22_node_662";1;1;1;0;1;0;0;0;0;0;0;0
"P22_node_663";0;1;0;0;0;0;0;1;0;0;0;0
"P22_node_664";0;0;1;0;0;0;0;0;0;1;0;0
"P22_node_614";0;1;0;1;0;1;0;1;0;0;0;1
"P22_node_665";0;0;0;0;1;0;0;0;0;1;0;0
"P22_node_666";1;0;0;0;0;1;0;0;1;0;0;0
"P22_node_667";0;0;1;0;0;0;1;0;0;0;0;1
"P22_node_668";0;0;0;0;0;0;0;1;0;0;1;0
"P22_node_669";0;1;0;0;0;0;0;0;1;0;1;1
"P22_node_670";0;0;0;0;0;1;0;0;1;1;0;0
