"";"P22_node_5544";"P22_node_9984";"P22_node_6967";"P22_node_7025";"P22_node_6101";"P22_node_13049";"P22_node_13050";"P22_node_5354";"P22_node_8783";"P22_node_6964";"P22_node_6965";"P22_node_6966";"P22_node_8786";"P22_node_8956";"P22_node_10243";"P22_node_9011";"P22_node_9015";"P22_node_5802";"P22_node_12581";"P22_node_6971";"P22_node_9134";"P22_node_5853";"P22_node_6434";"P22_node_7018";"P22_node_5912";"P22_node_13051"
"P22_node_257";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2766";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0
"P22_node_1707";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3191";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0
"P22_node_396";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
"P22_node_3313";0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_180";0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
"P22_node_612";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_734";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_633";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1348";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1283";0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1
