"";"mangal_node_0090";"mangal_node_3396";"mangal_node_3399";"mangal_node_3450";"mangal_node_3306";"mangal_node_3451";"mangal_node_3449";"mangal_node_3318";"mangal_node_3476";"mangal_node_3412";"mangal_node_3313";"mangal_node_3308";"mangal_node_3395";"mangal_node_3317";"mangal_node_3400";"mangal_node_3316";"mangal_node_3311"
"mangal_node_3393";1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1
"mangal_node_3294";0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1
"mangal_node_3516";1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1
"mangal_node_3298";0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_3408";0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0
"mangal_node_3445";1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1
"mangal_node_3390";1;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1
"mangal_node_3327";0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1
"mangal_node_3407";0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0
"mangal_node_3406";0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1
"mangal_node_3405";0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1
"mangal_node_3410";1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"mangal_node_3387";1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0
"mangal_node_3429";1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0
"mangal_node_3389";1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1
