"";"mangal_node_6851";"mangal_node_6852";"mangal_node_6876";"mangal_node_6877";"mangal_node_6861";"mangal_node_3198";"mangal_node_6849";"mangal_node_6878";"mangal_node_6655";"mangal_node_6879";"mangal_node_6880";"mangal_node_6881";"mangal_node_6850";"mangal_node_6882";"mangal_node_6883";"mangal_node_6859";"mangal_node_6860";"mangal_node_6885";"mangal_node_6855";"mangal_node_6886";"mangal_node_6853";"mangal_node_6887";"mangal_node_3166";"mangal_node_6890";"mangal_node_6856";"mangal_node_6047";"mangal_node_6884";"mangal_node_3255";"mangal_node_6888";"mangal_node_6865";"mangal_node_6889";"mangal_node_6891";"mangal_node_2141";"mangal_node_5792";"mangal_node_6892";"mangal_node_6857";"mangal_node_2815";"mangal_node_6862";"mangal_node_3165"
"mangal_node_6868";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1
"mangal_node_6867";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0
"mangal_node_6870";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"mangal_node_6871";0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"mangal_node_6893";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_6869";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"mangal_node_6872";0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0
"mangal_node_6873";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_6874";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"mangal_node_6875";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
