"";"AI22_node_2392";"AI22_node_171";"AI22_node_636";"AI22_node_850";"AI22_node_859";"AI22_node_1160";"AI22_node_1162";"AI22_node_1776";"AI22_node_2502";"AI22_node_2659";"AI22_node_3129";"AI22_node_3149";"AI22_node_1041";"AI22_node_2254";"AI22_node_2509";"AI22_node_3049";"AI22_node_635";"AI22_node_2791";"AI22_node_411";"AI22_node_3116";"AI22_node_3125";"AI22_node_3131";"AI22_node_3133";"AI22_node_2359";"AI22_node_849";"AI22_node_852";"AI22_node_1103";"AI22_node_294";"AI22_node_329";"AI22_node_1042";"AI22_node_2207";"AI22_node_3353";"AI22_node_3118";"AI22_node_85";"AI22_node_300";"AI22_node_817";"AI22_node_862";"AI22_node_874";"AI22_node_2019";"AI22_node_2330";"AI22_node_2860";"AI22_node_3122";"AI22_node_3148";"AI22_node_191";"AI22_node_306";"AI22_node_3331";"AI22_node_3332";"AI22_node_409";"AI22_node_2517";"AI22_node_3009";"AI22_node_3172";"AI22_node_841";"AI22_node_2128";"AI22_node_2474";"AI22_node_225";"AI22_node_256";"AI22_node_278";"AI22_node_319";"AI22_node_341";"AI22_node_632";"AI22_node_661";"AI22_node_863";"AI22_node_872";"AI22_node_1293";"AI22_node_1637";"AI22_node_1729";"AI22_node_1775";"AI22_node_3012";"AI22_node_3115";"AI22_node_3184";"AI22_node_3223";"AI22_node_3304";"AI22_node_1640";"AI22_node_266";"AI22_node_662";"AI22_node_244";"AI22_node_494";"AI22_node_767";"AI22_node_999";"AI22_node_1743";"AI22_node_2868";"AI22_node_2967";"AI22_node_3081";"AI22_node_2657";"AI22_node_3120";"AI22_node_1371";"AI22_node_1777";"AI22_node_2383";"AI22_node_853";"AI22_node_864";"AI22_node_2276";"AI22_node_2329"
"AI22_node_12";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_384";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_829";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"AI22_node_839";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_1026";0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1027";1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"AI22_node_1608";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1670";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"AI22_node_1699";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2093";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
