"";"P22_node_8479";"P22_node_5354";"P22_node_13149";"P22_node_13150";"P22_node_11551";"P22_node_13151";"P22_node_13152";"P22_node_13153";"P22_node_13154";"P22_node_13155";"P22_node_13156";"P22_node_9457";"P22_node_13157";"P22_node_13158";"P22_node_11582";"P22_node_13159";"P22_node_13160";"P22_node_13161";"P22_node_13162";"P22_node_13163";"P22_node_12184";"P22_node_13164";"P22_node_13165";"P22_node_11584";"P22_node_9763";"P22_node_10902";"P22_node_13166";"P22_node_13167";"P22_node_13168";"P22_node_11434";"P22_node_13169";"P22_node_9330";"P22_node_13170";"P22_node_13171";"P22_node_13172";"P22_node_13173";"P22_node_8608";"P22_node_13174";"P22_node_13175";"P22_node_13176";"P22_node_13177";"P22_node_13178";"P22_node_13179";"P22_node_13180";"P22_node_13181";"P22_node_13182";"P22_node_13183";"P22_node_13184";"P22_node_13185";"P22_node_11508";"P22_node_10988";"P22_node_13186";"P22_node_13187";"P22_node_6908";"P22_node_13188";"P22_node_11463";"P22_node_11435";"P22_node_13189";"P22_node_13190";"P22_node_13191";"P22_node_13192";"P22_node_12069";"P22_node_13193";"P22_node_13194";"P22_node_13195";"P22_node_12973";"P22_node_13196";"P22_node_13197";"P22_node_9801";"P22_node_9726";"P22_node_13198";"P22_node_13199";"P22_node_9475";"P22_node_11294";"P22_node_6919";"P22_node_13200";"P22_node_13201";"P22_node_13202";"P22_node_13203";"P22_node_13204";"P22_node_13205";"P22_node_13206";"P22_node_13207";"P22_node_13208";"P22_node_10706";"P22_node_11522";"P22_node_10707";"P22_node_11339";"P22_node_10188";"P22_node_13209";"P22_node_11193";"P22_node_13210";"P22_node_13211";"P22_node_13212";"P22_node_9738";"P22_node_13213";"P22_node_13214";"P22_node_13215";"P22_node_13216";"P22_node_13217";"P22_node_13218";"P22_node_13219";"P22_node_13220";"P22_node_13221";"P22_node_7769";"P22_node_11009";"P22_node_11360";"P22_node_7106";"P22_node_13222";"P22_node_11906";"P22_node_11907";"P22_node_13223";"P22_node_13224";"P22_node_13225";"P22_node_13226";"P22_node_13227";"P22_node_13228";"P22_node_13229";"P22_node_13230";"P22_node_13231";"P22_node_13232";"P22_node_13233";"P22_node_9741";"P22_node_6936";"P22_node_6937";"P22_node_6938";"P22_node_6939";"P22_node_13234";"P22_node_13235";"P22_node_13236";"P22_node_13237";"P22_node_11550";"P22_node_10126";"P22_node_13238";"P22_node_13239";"P22_node_13240";"P22_node_13241";"P22_node_13242";"P22_node_13243";"P22_node_13244";"P22_node_13245";"P22_node_13246";"P22_node_13247";"P22_node_13248";"P22_node_13249";"P22_node_13250";"P22_node_9470";"P22_node_9471";"P22_node_13251";"P22_node_13252";"P22_node_7116";"P22_node_9750";"P22_node_9462";"P22_node_13253";"P22_node_11241";"P22_node_13254";"P22_node_13255";"P22_node_13256";"P22_node_13257";"P22_node_13258";"P22_node_13259";"P22_node_7294";"P22_node_13260";"P22_node_13261";"P22_node_13262";"P22_node_13263";"P22_node_13264";"P22_node_13265";"P22_node_13266";"P22_node_11958";"P22_node_13267";"P22_node_11576";"P22_node_11577";"P22_node_11579";"P22_node_13268";"P22_node_13269";"P22_node_13270";"P22_node_13271";"P22_node_11583";"P22_node_6948";"P22_node_13272";"P22_node_11035";"P22_node_11445";"P22_node_11446";"P22_node_11589";"P22_node_6949";"P22_node_6950";"P22_node_6951";"P22_node_11456";"P22_node_13273";"P22_node_11793";"P22_node_11037";"P22_node_13274";"P22_node_13275";"P22_node_10965";"P22_node_11925";"P22_node_11967";"P22_node_13276";"P22_node_7902";"P22_node_13277";"P22_node_13278";"P22_node_13279";"P22_node_8627";"P22_node_11724";"P22_node_9777";"P22_node_13280";"P22_node_9813";"P22_node_9332";"P22_node_13281";"P22_node_13282";"P22_node_13283";"P22_node_11811";"P22_node_13284";"P22_node_13285";"P22_node_13286";"P22_node_13287";"P22_node_11908"
"P22_node_3439";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3440";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3441";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3442";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_3443";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3444";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3445";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_3446";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3447";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3448";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
