"";"TI_HERB_4604";"TI_HERB_4605";"TI_HERB_4606";"TI_HERB_4607";"TI_HERB_4608";"TI_HERB_4609";"TI_HERB_4610";"TI_HERB_4611";"TI_HERB_4612";"TI_HERB_4613";"TI_HERB_4614";"TI_HERB_4615";"TI_HERB_4616";"TI_HERB_4617";"TI_HERB_4618";"TI_HERB_4619";"TI_HERB_4620"
"TI_PLANT_3848";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3849";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3850";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3851";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3852";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_3853";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_3854";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3855";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_3856";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"TI_PLANT_3857";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"TI_PLANT_3858";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_3859";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_3860";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"TI_PLANT_3861";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_3862";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
