"";"P22_node_16230";"P22_node_16231";"P22_node_16127";"P22_node_16232";"P22_node_16233";"P22_node_7064";"P22_node_6147";"P22_node_11485";"P22_node_5802";"P22_node_10400";"P22_node_16234";"P22_node_6704";"P22_node_10099";"P22_node_16235";"P22_node_16236";"P22_node_16237";"P22_node_16238";"P22_node_16239";"P22_node_13518";"P22_node_10454";"P22_node_10455";"P22_node_10457";"P22_node_14090";"P22_node_5120";"P22_node_16240";"P22_node_10487";"P22_node_16241";"P22_node_5118";"P22_node_16242";"P22_node_16243";"P22_node_16244";"P22_node_16245";"P22_node_16246";"P22_node_16247";"P22_node_16248";"P22_node_5469";"P22_node_13311";"P22_node_10447";"P22_node_16249";"P22_node_16250";"P22_node_16251";"P22_node_16252";"P22_node_16253";"P22_node_16254";"P22_node_16255";"P22_node_16256";"P22_node_16257";"P22_node_15671";"P22_node_16258";"P22_node_16259";"P22_node_8628";"P22_node_16260";"P22_node_14945";"P22_node_13364";"P22_node_13834";"P22_node_16261";"P22_node_16262";"P22_node_10252";"P22_node_16263";"P22_node_16264";"P22_node_16265";"P22_node_15823";"P22_node_5221";"P22_node_12632";"P22_node_5438";"P22_node_10761";"P22_node_16266";"P22_node_16267";"P22_node_15033";"P22_node_16268";"P22_node_16269";"P22_node_16270";"P22_node_16271";"P22_node_7246";"P22_node_16272";"P22_node_16273";"P22_node_16274";"P22_node_16275";"P22_node_16276";"P22_node_10363";"P22_node_16277";"P22_node_16278";"P22_node_16279";"P22_node_16280";"P22_node_5339";"P22_node_16281";"P22_node_10933";"P22_node_16282";"P22_node_12689";"P22_node_16283";"P22_node_13603";"P22_node_16284";"P22_node_16285";"P22_node_16286";"P22_node_12897";"P22_node_16287";"P22_node_10762";"P22_node_16288";"P22_node_12258";"P22_node_16289";"P22_node_16290";"P22_node_16291";"P22_node_16292";"P22_node_16293";"P22_node_16294";"P22_node_16295";"P22_node_16296";"P22_node_16297";"P22_node_16298";"P22_node_16299";"P22_node_16300";"P22_node_16301";"P22_node_16302";"P22_node_16303";"P22_node_16304";"P22_node_16305";"P22_node_16306";"P22_node_16307";"P22_node_16225";"P22_node_16308";"P22_node_16309";"P22_node_16310";"P22_node_16311";"P22_node_16312";"P22_node_16313";"P22_node_16314";"P22_node_14001";"P22_node_16315";"P22_node_16316";"P22_node_16317";"P22_node_16318";"P22_node_16319";"P22_node_16320";"P22_node_16321";"P22_node_16322";"P22_node_16323";"P22_node_16324";"P22_node_16325";"P22_node_9143";"P22_node_16326";"P22_node_16327";"P22_node_16328";"P22_node_16329";"P22_node_16330";"P22_node_13993";"P22_node_16331";"P22_node_16332";"P22_node_5620";"P22_node_10467";"P22_node_16333";"P22_node_5930";"P22_node_6172";"P22_node_6796";"P22_node_16334";"P22_node_16335";"P22_node_16336";"P22_node_16337";"P22_node_16338";"P22_node_16339";"P22_node_16340";"P22_node_16341";"P22_node_16342";"P22_node_16343";"P22_node_16344"
"P22_node_517";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4741";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4742";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"P22_node_4743";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2364";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4744";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"P22_node_4745";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
"P22_node_4746";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_4747";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"P22_node_1215";0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
