"";"WOL_node_1775";"WOL_node_1776";"WOL_node_1777";"WOL_node_11287";"WOL_node_11846";"WOL_node_15070";"WOL_node_14721";"WOL_node_14854";"WOL_node_1897";"WOL_node_8165";"WOL_node_4656";"WOL_node_6033";"WOL_node_13241";"WOL_node_11444";"WOL_node_15542";"WOL_node_3570";"WOL_node_3566";"WOL_node_10099";"WOL_node_6530";"WOL_node_7002";"WOL_node_1174";"WOL_node_5435";"WOL_node_12854";"WOL_node_12931";"WOL_node_13021";"WOL_node_13107";"WOL_node_7405";"WOL_node_322";"WOL_node_13576";"WOL_node_14474";"WOL_node_14971";"WOL_node_3342";"WOL_node_15334";"WOL_node_12531";"WOL_node_5295";"WOL_node_2245";"WOL_node_3771";"WOL_node_1900";"WOL_node_5590";"WOL_node_2264";"WOL_node_13181";"WOL_node_13304";"WOL_node_14094";"WOL_node_6962";"WOL_node_6931";"WOL_node_23";"WOL_node_2854";"WOL_node_1184";"WOL_node_1237";"WOL_node_2053";"WOL_node_11461";"WOL_node_15703";"WOL_node_4352";"WOL_node_15162"
"WOL_node_239";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_1389";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4744";0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8815";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
"WOL_node_10488";0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_12147";0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_1204";1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"WOL_node_6961";0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"WOL_node_12730";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_7710";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
