"";"mangal_node_3337";"mangal_node_3347";"mangal_node_3342";"mangal_node_3344";"mangal_node_0090";"mangal_node_3361";"mangal_node_3345";"mangal_node_3414";"mangal_node_3374";"mangal_node_3352";"mangal_node_3349";"mangal_node_3343";"mangal_node_3364";"mangal_node_3340";"mangal_node_3350";"mangal_node_3422";"mangal_node_3341";"mangal_node_3423";"mangal_node_3365"
"mangal_node_3321";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1
"mangal_node_3334";1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1
"mangal_node_3328";0;1;1;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;1
"mangal_node_3420";0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1
"mangal_node_3325";0;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0
"mangal_node_3322";0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0
"mangal_node_3323";1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0
"mangal_node_3331";1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;1
"mangal_node_3324";0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0
"mangal_node_3300";0;1;0;0;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0
"mangal_node_3418";0;1;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1
