"";"P22_node_8631";"P22_node_8632";"P22_node_8633";"P22_node_3095";"P22_node_8634";"P22_node_8635";"P22_node_8636";"P22_node_8637";"P22_node_6051";"P22_node_3072";"P22_node_8638";"P22_node_8639";"P22_node_8640";"P22_node_8641";"P22_node_8642";"P22_node_8643";"P22_node_8644";"P22_node_8645";"P22_node_8646";"P22_node_8647";"P22_node_8648";"P22_node_8649";"P22_node_5354";"P22_node_8650";"P22_node_8651";"P22_node_8652";"P22_node_6967";"P22_node_8653";"P22_node_8654";"P22_node_8655";"P22_node_6010";"P22_node_8656";"P22_node_8657";"P22_node_8658";"P22_node_8659";"P22_node_8660";"P22_node_8661";"P22_node_8662";"P22_node_8663";"P22_node_8664";"P22_node_8665";"P22_node_8666";"P22_node_8667";"P22_node_8668";"P22_node_8669";"P22_node_8670";"P22_node_8671";"P22_node_8672";"P22_node_8673";"P22_node_8674";"P22_node_6032";"P22_node_8675";"P22_node_6039";"P22_node_8676";"P22_node_8677";"P22_node_8678";"P22_node_8679";"P22_node_8680";"P22_node_6049";"P22_node_8681";"P22_node_8682";"P22_node_8683";"P22_node_8684";"P22_node_8685";"P22_node_8686";"P22_node_8687";"P22_node_6052";"P22_node_3085";"P22_node_3093";"P22_node_8688";"P22_node_8689";"P22_node_8690";"P22_node_8691";"P22_node_8692";"P22_node_8693";"P22_node_8694";"P22_node_8695";"P22_node_8696";"P22_node_8697";"P22_node_8698";"P22_node_8699";"P22_node_8700";"P22_node_8701";"P22_node_8702";"P22_node_8703";"P22_node_8704";"P22_node_8705";"P22_node_8706";"P22_node_8707";"P22_node_8708";"P22_node_8709";"P22_node_8710";"P22_node_8711";"P22_node_8712";"P22_node_8713";"P22_node_8714";"P22_node_8715";"P22_node_8716";"P22_node_8717";"P22_node_8718";"P22_node_5198";"P22_node_8719";"P22_node_8720";"P22_node_8721";"P22_node_8722";"P22_node_8723";"P22_node_8724";"P22_node_8725";"P22_node_8726";"P22_node_8727";"P22_node_8728"
"P22_node_1247";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"P22_node_1248";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1249";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"P22_node_1250";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1251";0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_1252";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1253";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1254";1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
"P22_node_1255";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_1256";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
