"";"WOL_node_11000";"WOL_node_15283";"WOL_node_6870";"WOL_node_5357";"WOL_node_11830";"WOL_node_8409";"WOL_node_11571";"WOL_node_6585";"WOL_node_1195";"WOL_node_6586";"WOL_node_2629";"WOL_node_2042";"WOL_node_776"
"WOL_node_1728";1;0;0;0;1;0;1;0;1;0;0;0;0
"WOL_node_10655";0;1;1;0;0;0;0;0;0;1;0;0;1
"WOL_node_12152";0;1;1;1;1;0;0;0;0;0;0;0;0
"WOL_node_1031";0;0;1;1;0;0;1;0;0;0;0;0;0
"WOL_node_762";1;0;1;0;1;0;1;0;0;0;0;0;0
"WOL_node_617";0;0;1;1;0;1;1;0;0;0;0;0;0
"WOL_node_12608";0;0;0;1;0;0;1;0;0;1;0;1;1
"WOL_node_5879";0;0;1;0;0;1;1;1;0;0;0;0;0
"WOL_node_12183";0;0;0;0;1;0;0;0;1;0;0;0;0
"WOL_node_144";1;1;0;0;1;0;0;1;0;1;0;0;0
"WOL_node_12501";0;0;0;1;0;0;1;0;1;0;1;0;1
"WOL_node_7423";1;1;0;0;1;0;0;0;0;0;0;1;0
"WOL_node_3747";0;1;0;0;1;0;0;0;0;0;1;0;1
"WOL_node_6142";0;1;1;0;0;0;0;0;0;1;0;0;0
"WOL_node_6143";0;0;0;0;1;0;0;1;0;0;0;0;1
"WOL_node_3999";1;1;0;1;1;0;0;0;1;0;0;1;0
"WOL_node_11806";0;0;0;0;0;1;0;0;0;0;1;1;0
"WOL_node_11447";0;0;0;1;0;1;0;0;1;1;1;0;0
"WOL_node_7726";1;1;0;0;0;1;0;1;0;0;0;0;0
"WOL_node_11419";0;1;0;0;0;1;0;0;0;1;1;0;0
"WOL_node_4716";1;1;1;1;1;0;0;0;0;0;1;0;0
"WOL_node_5884";0;0;0;0;1;0;0;0;0;0;0;1;0
"WOL_node_5883";0;0;1;0;1;0;0;0;1;0;0;0;0
"WOL_node_10643";0;1;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_10644";0;1;0;1;0;1;1;0;0;0;0;0;0
"WOL_node_10645";0;0;0;1;0;1;0;0;0;0;1;0;1
"WOL_node_10646";1;1;1;0;0;0;0;1;0;0;0;0;1
"WOL_node_596";0;0;1;0;0;0;0;0;1;1;0;1;1
"WOL_node_610";0;1;1;1;0;1;1;0;0;0;0;0;0
"WOL_node_618";0;1;1;0;0;0;1;1;1;0;1;0;0
"WOL_node_679";0;0;0;1;1;1;0;1;0;1;1;1;0
"WOL_node_724";0;0;0;1;0;0;1;0;1;1;0;0;0
"WOL_node_3236";0;0;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_3938";0;0;1;0;1;1;1;0;0;1;0;0;1
