"";"P22_node_7031";"P22_node_5928";"P22_node_5929";"P22_node_5939";"P22_node_7032";"P22_node_7033";"P22_node_5971";"P22_node_7034";"P22_node_5980";"P22_node_7035";"P22_node_5987";"P22_node_5989";"P22_node_7036";"P22_node_5990";"P22_node_5991";"P22_node_7037";"P22_node_5992";"P22_node_6000"
"P22_node_300";1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0
"P22_node_262";0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
"P22_node_631";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_632";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_257";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_301";0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0
"P22_node_304";0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0
"P22_node_633";0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0
"P22_node_634";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_252";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"P22_node_635";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
