"";"TI_HERB_1994";"TI_HERB_1995";"TI_HERB_1921";"TI_HERB_1996";"TI_HERB_1924";"TI_HERB_1997";"TI_HERB_1926";"TI_HERB_1998";"TI_HERB_1999";"TI_HERB_2000";"TI_HERB_1930";"TI_HERB_1932";"TI_HERB_1933";"TI_HERB_1931";"TI_HERB_2001";"TI_HERB_2002";"TI_HERB_1936";"TI_HERB_2003";"TI_HERB_1937";"TI_HERB_1935";"TI_HERB_2004";"TI_HERB_2005";"TI_HERB_1938";"TI_HERB_2006";"TI_HERB_1940";"TI_HERB_2007";"TI_HERB_2008";"TI_HERB_2009";"TI_HERB_2010";"TI_HERB_2011";"TI_HERB_2012";"TI_HERB_2013";"TI_HERB_2014";"TI_HERB_1949";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_2015";"TI_HERB_2016";"TI_HERB_1956";"TI_HERB_1957";"TI_HERB_1960";"TI_HERB_1961";"TI_HERB_1964";"TI_HERB_825";"TI_HERB_1965";"TI_HERB_2017";"TI_HERB_2018";"TI_HERB_2019";"TI_HERB_2020";"TI_HERB_1966";"TI_HERB_1967";"TI_HERB_2021";"TI_HERB_2022";"TI_HERB_1968";"TI_HERB_2023";"TI_HERB_2024";"TI_HERB_2025";"TI_HERB_815";"TI_HERB_1972";"TI_HERB_2026";"TI_HERB_2027";"TI_HERB_2028";"TI_HERB_2029";"TI_HERB_2030";"TI_HERB_2031";"TI_HERB_1977";"TI_HERB_2032";"TI_HERB_2033";"TI_HERB_2034";"TI_HERB_2035";"TI_HERB_1979";"TI_HERB_2036";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_2037";"TI_HERB_1985";"TI_HERB_2038";"TI_HERB_1987";"TI_HERB_2039";"TI_HERB_2040";"TI_HERB_2041";"TI_HERB_2042"
"TI_PLANT_2425";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1922";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"TI_PLANT_141";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2426";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_2414";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_2152";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2427";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_703";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2420";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
