"";"D21_node_866";"D21_node_49";"D21_node_347";"D21_node_780";"D21_node_759";"D21_node_1135";"D21_node_348";"D21_node_867";"D21_node_1151";"D21_node_606";"D21_node_1022";"D21_node_461"
"D21_node_134";1;0;0;0;0;0;0;0;0;0;0;0
"D21_node_157";0;1;1;0;0;1;0;0;0;0;0;0
"D21_node_169";0;0;1;0;0;0;0;0;0;0;0;0
"D21_node_179";0;0;0;1;0;0;0;0;0;1;0;0
"D21_node_180";0;0;0;0;1;0;0;0;0;0;0;0
"D21_node_567";0;0;0;0;0;1;0;0;0;1;0;0
"D21_node_280";0;0;0;0;0;0;1;0;0;0;0;0
"D21_node_419";0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_435";0;0;0;1;0;0;0;0;1;0;0;0
"D21_node_448";0;0;0;0;0;1;0;0;0;1;0;0
"D21_node_516";1;0;0;0;0;0;0;0;0;0;1;0
"D21_node_526";0;0;0;0;0;0;0;0;0;0;0;1
"D21_node_533";0;1;0;0;0;0;0;0;0;0;0;0
"D21_node_549";0;1;0;1;1;0;0;0;0;0;0;0
"D21_node_550";0;0;0;0;0;0;0;0;1;0;1;0
"D21_node_862";0;0;0;0;0;0;0;1;0;0;0;1
"D21_node_870";0;0;0;0;0;0;0;0;1;0;0;0
"D21_node_885";0;1;0;0;0;0;0;0;1;0;0;0
"D21_node_1028";0;0;0;0;0;0;0;0;0;1;1;0
"D21_node_1138";0;0;0;0;0;0;0;0;1;1;0;0
"D21_node_1161";0;0;0;0;0;0;1;0;0;0;1;0
"D21_node_1171";0;0;1;0;1;0;1;0;0;0;0;0
"D21_node_1217";0;1;0;0;0;0;0;1;0;0;0;0
"D21_node_1368";0;0;0;1;0;0;0;0;0;0;0;0
"D21_node_1372";0;1;0;0;0;0;0;0;0;0;0;1
"D21_node_1379";0;0;0;0;0;0;0;0;1;0;0;0
