"";"AI22_node_2990";"AI22_node_1124";"AI22_node_2510";"AI22_node_2520";"AI22_node_2363";"AI22_node_1046";"AI22_node_2515";"AI22_node_2378";"AI22_node_171";"AI22_node_2372";"AI22_node_2373";"AI22_node_3184";"AI22_node_1580";"AI22_node_1571";"AI22_node_1598";"AI22_node_27";"AI22_node_1479"
"AI22_node_422";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"AI22_node_1758";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1630";0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"AI22_node_2935";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
"AI22_node_829";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1180";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_942";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"AI22_node_1186";0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"AI22_node_1029";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"AI22_node_968";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
