"";"TI_HERB_2043";"TI_HERB_1995";"TI_HERB_1920";"TI_HERB_1923";"TI_HERB_1924";"TI_HERB_1926";"TI_HERB_1928";"TI_HERB_1930";"TI_HERB_2190";"TI_HERB_2191";"TI_HERB_2001";"TI_HERB_1932";"TI_HERB_1933";"TI_HERB_1935";"TI_HERB_1936";"TI_HERB_2003";"TI_HERB_2068";"TI_HERB_1938";"TI_HERB_2072";"TI_HERB_1940";"TI_HERB_823";"TI_HERB_1943";"TI_HERB_1944";"TI_HERB_2053";"TI_HERB_2054";"TI_HERB_2171";"TI_HERB_2184";"TI_HERB_2055";"TI_HERB_2192";"TI_HERB_2153";"TI_HERB_1947";"TI_HERB_1949";"TI_HERB_1950";"TI_HERB_1952";"TI_HERB_1953";"TI_HERB_2193";"TI_HERB_1955";"TI_HERB_1957";"TI_HERB_1959";"TI_HERB_1960";"TI_HERB_2194";"TI_HERB_1961";"TI_HERB_1962";"TI_HERB_1964";"TI_HERB_825";"TI_HERB_1965";"TI_HERB_2078";"TI_HERB_2195";"TI_HERB_2196";"TI_HERB_1967";"TI_HERB_2021";"TI_HERB_2197";"TI_HERB_1968";"TI_HERB_1969";"TI_HERB_2198";"TI_HERB_1970";"TI_HERB_815";"TI_HERB_1973";"TI_HERB_1974";"TI_HERB_2079";"TI_HERB_2142";"TI_HERB_2199";"TI_HERB_2030";"TI_HERB_2123";"TI_HERB_1977";"TI_HERB_2200";"TI_HERB_2201";"TI_HERB_2202";"TI_HERB_2033";"TI_HERB_2164";"TI_HERB_2203";"TI_HERB_1982";"TI_HERB_1983";"TI_HERB_2037";"TI_HERB_1984";"TI_HERB_1986";"TI_HERB_1987";"TI_HERB_2084";"TI_HERB_2204";"TI_HERB_2205";"TI_HERB_2041";"TI_HERB_2181";"TI_HERB_2206";"TI_HERB_2207"
"TI_PLANT_141";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_1922";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2413";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2414";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"TI_PLANT_2428";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_699";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_712";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2416";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_143";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_40";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
