"";"P22_node_5195";"P22_node_7482";"P22_node_11313";"P22_node_7198";"P22_node_11256";"P22_node_11203";"P22_node_11260";"P22_node_11201";"P22_node_11239";"P22_node_7043";"P22_node_5338";"P22_node_11204";"P22_node_11265";"P22_node_11115";"P22_node_11288";"P22_node_11240";"P22_node_9825";"P22_node_11147";"P22_node_11314";"P22_node_11237";"P22_node_7181";"P22_node_11155";"P22_node_11108";"P22_node_11281";"P22_node_11225";"P22_node_11315";"P22_node_5354";"P22_node_11316";"P22_node_5362";"P22_node_5364";"P22_node_5368";"P22_node_8744";"P22_node_5370";"P22_node_5374";"P22_node_11293";"P22_node_11053";"P22_node_11317";"P22_node_9723";"P22_node_7499";"P22_node_11318";"P22_node_11132";"P22_node_5402";"P22_node_10293";"P22_node_11319";"P22_node_7610";"P22_node_11320";"P22_node_11228";"P22_node_11321";"P22_node_11322";"P22_node_11194";"P22_node_11287";"P22_node_10307";"P22_node_11297";"P22_node_11298";"P22_node_11267";"P22_node_11323";"P22_node_11259";"P22_node_11268";"P22_node_8849";"P22_node_10673";"P22_node_11300";"P22_node_9143";"P22_node_10305";"P22_node_11324";"P22_node_11261";"P22_node_11179";"P22_node_11325";"P22_node_11303";"P22_node_11326";"P22_node_11306";"P22_node_11327";"P22_node_11328";"P22_node_11271";"P22_node_11307";"P22_node_11142";"P22_node_11231";"P22_node_11172";"P22_node_11308";"P22_node_11309";"P22_node_11182";"P22_node_11272";"P22_node_11329";"P22_node_11330";"P22_node_11331";"P22_node_11310";"P22_node_11273";"P22_node_11174";"P22_node_11311";"P22_node_11274";"P22_node_11262";"P22_node_11332";"P22_node_11250";"P22_node_11202";"P22_node_10336";"P22_node_11123";"P22_node_11333";"P22_node_11278";"P22_node_11226";"P22_node_11279";"P22_node_11334"
"P22_node_2430";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
"P22_node_151";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2446";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2440";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2449";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2442";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"P22_node_2445";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2453";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2455";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2409";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
