"";"P22_node_8914";"P22_node_9968";"P22_node_14478";"P22_node_8918";"P22_node_14479";"P22_node_9283";"P22_node_12243";"P22_node_5701";"P22_node_9300";"P22_node_7025";"P22_node_5309";"P22_node_9000";"P22_node_14480";"P22_node_14481";"P22_node_14482";"P22_node_5288";"P22_node_5912";"P22_node_6963";"P22_node_5339";"P22_node_5354";"P22_node_8983";"P22_node_12899";"P22_node_10021";"P22_node_6964";"P22_node_5771";"P22_node_6966";"P22_node_8785";"P22_node_14483";"P22_node_8786";"P22_node_8998";"P22_node_8999";"P22_node_9511";"P22_node_14484";"P22_node_13073";"P22_node_9905";"P22_node_14485";"P22_node_9027";"P22_node_9036";"P22_node_14486";"P22_node_14487";"P22_node_10076";"P22_node_8829";"P22_node_14488";"P22_node_9072";"P22_node_8572";"P22_node_14489";"P22_node_14490";"P22_node_10085";"P22_node_8844";"P22_node_14491";"P22_node_5424";"P22_node_9103";"P22_node_14492";"P22_node_14493";"P22_node_9125";"P22_node_9126";"P22_node_9988";"P22_node_14494";"P22_node_14495";"P22_node_14496";"P22_node_5853";"P22_node_6974";"P22_node_9161";"P22_node_5442";"P22_node_9195";"P22_node_12667";"P22_node_7016";"P22_node_14497";"P22_node_9992";"P22_node_7022";"P22_node_12709";"P22_node_5734";"P22_node_5535";"P22_node_9964";"P22_node_9285"
"P22_node_3660";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_4047";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_1676";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_4048";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2201";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1345";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_1331";0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"P22_node_1707";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_212";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1737";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
