"";"AI22_node_1474";"AI22_node_1531";"AI22_node_171";"AI22_node_3179";"AI22_node_1388";"AI22_node_1088";"AI22_node_2360";"AI22_node_1502";"AI22_node_488";"AI22_node_2962";"AI22_node_1087";"AI22_node_1525";"AI22_node_2749";"AI22_node_1045";"AI22_node_2291";"AI22_node_307";"AI22_node_243";"AI22_node_1089";"AI22_node_3191";"AI22_node_2510";"AI22_node_3051"
"AI22_node_3169";1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1187";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"AI22_node_2889";0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2811";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2758";1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2328";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"AI22_node_2593";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2135";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_831";0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
"AI22_node_396";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"AI22_node_2492";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_1752";0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0
