"";"mangal_node_3337";"mangal_node_3338";"mangal_node_3339";"mangal_node_3340";"mangal_node_3341";"mangal_node_3342";"mangal_node_3343";"mangal_node_3344";"mangal_node_3345";"mangal_node_3346";"mangal_node_3347";"mangal_node_3348";"mangal_node_3349";"mangal_node_3350";"mangal_node_3351";"mangal_node_3352";"mangal_node_3353";"mangal_node_3354";"mangal_node_3355";"mangal_node_3308";"mangal_node_3356";"mangal_node_3357";"mangal_node_3358";"mangal_node_3359";"mangal_node_3360";"mangal_node_3361";"mangal_node_3362";"mangal_node_3363";"mangal_node_0090";"mangal_node_3364";"mangal_node_3365"
"mangal_node_3321";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_3322";0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_3323";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"mangal_node_3325";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_3326";1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_3300";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3327";1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0
"mangal_node_3324";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"mangal_node_3328";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_3329";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_3330";0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_3331";0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"mangal_node_3332";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_3333";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3334";0;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_3335";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_3336";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"mangal_node_3294";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
