"";"P22_node_5363";"P22_node_11396";"P22_node_11290";"P22_node_5367";"P22_node_5368";"P22_node_9588";"P22_node_5374";"P22_node_5377";"P22_node_9600";"P22_node_11399";"P22_node_11394";"P22_node_11400";"P22_node_11395";"P22_node_5504"
"P22_node_2476";1;0;0;0;0;0;1;0;0;1;0;0;0;0
"P22_node_2456";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_150";0;0;1;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2474";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2489";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2482";0;1;1;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2479";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_2481";0;0;0;0;0;1;0;1;0;0;0;0;0;0
"P22_node_2490";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"P22_node_199";0;0;1;0;0;0;0;0;0;1;0;0;0;0
"P22_node_1562";0;1;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_2470";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2491";0;0;0;0;0;0;0;0;0;0;1;0;1;0
"P22_node_2469";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_231";0;0;0;1;0;0;0;0;1;0;0;0;0;0
