"";"TI_HERB_4721";"TI_HERB_4790";"TI_HERB_4729";"TI_HERB_4727";"TI_HERB_4791";"TI_HERB_4737";"TI_HERB_4775";"TI_HERB_4781";"TI_HERB_4753";"TI_HERB_1816";"TI_HERB_4725";"TI_HERB_4772";"TI_HERB_4726";"TI_HERB_4698"
"TI_PLANT_4271";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4316";0;1;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4282";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_2444";0;0;0;1;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_4288";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4274";0;0;0;0;0;1;0;0;0;1;0;0;0;0
"TI_PLANT_4299";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_4306";0;1;0;1;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4286";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"TI_PLANT_4265";0;0;0;0;0;0;0;0;0;1;0;0;1;0
