"";"mangal_node_3340";"mangal_node_3481";"mangal_node_3342";"mangal_node_3482";"mangal_node_3483";"mangal_node_3353";"mangal_node_3484";"mangal_node_3312";"mangal_node_3341";"mangal_node_3485";"mangal_node_3453";"mangal_node_3308";"mangal_node_3304";"mangal_node_3486";"mangal_node_3309";"mangal_node_3317";"mangal_node_3437";"mangal_node_3306";"mangal_node_3378";"mangal_node_3454"
"mangal_node_3477";1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
"mangal_node_3478";0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
"mangal_node_3479";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
"mangal_node_3336";0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0
"mangal_node_3300";1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1
"mangal_node_3323";1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0
"mangal_node_3480";1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0
"mangal_node_3294";0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_3417";0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_3302";0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0
