"";"D21_node_1046";"D21_node_1329";"D21_node_682";"D21_node_1045";"D21_node_92";"D21_node_556";"D21_node_557";"D21_node_305";"D21_node_71";"D21_node_316";"D21_node_502";"D21_node_1044";"D21_node_664"
"D21_node_27";1;0;1;0;1;0;0;0;0;0;0;0;0
"D21_node_38";0;1;0;0;0;0;1;0;0;1;0;0;0
"D21_node_208";1;0;1;0;0;1;0;0;0;0;0;0;0
"D21_node_273";0;0;0;1;0;0;0;0;0;1;0;0;0
"D21_node_392";1;1;0;0;1;0;0;1;0;0;0;0;1
"D21_node_546";1;0;1;0;0;1;0;0;1;0;1;0;0
"D21_node_569";0;0;0;0;0;0;1;0;0;1;0;0;0
"D21_node_635";0;0;0;1;0;1;1;1;0;0;0;0;1
"D21_node_675";0;0;0;0;0;0;0;0;1;0;0;0;0
"D21_node_809";0;0;0;1;0;0;0;0;0;1;0;0;0
"D21_node_905";0;1;0;1;0;0;0;0;0;0;1;0;1
"D21_node_1102";0;0;0;0;0;0;0;0;0;0;0;1;0
"D21_node_1172";0;1;0;0;0;0;0;0;1;0;0;0;1
"D21_node_1403";0;0;0;0;1;0;0;0;0;0;0;1;0
"D21_node_1405";0;0;0;0;0;0;0;1;0;1;0;0;0
"D21_node_1417";0;1;0;0;0;0;0;0;1;0;0;0;0
