"";"M22_node_568";"M22_node_1655";"M22_node_265";"M22_node_789";"M22_node_2406";"M22_node_1781";"M22_node_1377";"M22_node_1638";"M22_node_1737";"M22_node_321";"M22_node_855";"M22_node_1887";"M22_node_1429";"M22_node_588";"M22_node_1032";"M22_node_1029";"M22_node_1616";"M22_node_777";"M22_node_2371";"M22_node_2281";"M22_node_1502"
"M22_node_2511";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
"M22_node_485";0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"M22_node_2119";0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"M22_node_406";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"M22_node_334";0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"M22_node_1402";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"M22_node_1710";0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0
"M22_node_1444";0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"M22_node_203";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1
"M22_node_603";0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
