"";"AI22_node_1322";"AI22_node_3355";"AI22_node_274";"AI22_node_269";"AI22_node_275";"AI22_node_329";"AI22_node_1046";"AI22_node_2701";"AI22_node_2296";"AI22_node_1380"
"AI22_node_2433";1;1;0;0;0;0;0;0;0;0
"AI22_node_761";0;1;0;1;0;0;0;0;0;0
"AI22_node_625";0;1;1;0;0;0;0;0;0;0
"AI22_node_707";0;0;0;1;0;0;0;0;1;0
"AI22_node_2899";0;0;0;0;1;0;0;0;0;0
"AI22_node_3168";0;0;0;0;0;1;0;0;0;0
"AI22_node_2052";0;0;0;0;0;0;1;0;0;0
"AI22_node_1343";0;0;0;1;0;0;0;1;0;0
"AI22_node_2159";0;0;1;0;0;0;0;0;1;1
"AI22_node_2486";0;0;0;0;0;1;0;0;0;1
"AI22_node_1470";1;0;0;0;0;0;0;0;0;0
"AI22_node_2891";0;1;0;1;0;0;0;0;0;0
