"";"AI22_node_2651";"AI22_node_909";"AI22_node_18";"AI22_node_520";"AI22_node_2184";"AI22_node_1823";"AI22_node_2605";"AI22_node_2896";"AI22_node_2461";"AI22_node_521";"AI22_node_2218";"AI22_node_630"
"AI22_node_553";1;0;0;0;0;0;0;0;0;0;1;0
"AI22_node_2760";0;1;0;0;0;0;0;0;0;0;1;0
"AI22_node_1252";0;0;1;0;0;0;0;0;0;0;0;0
"AI22_node_3254";0;0;0;1;0;1;0;0;0;0;0;0
"AI22_node_2885";0;0;0;0;1;0;0;0;1;0;0;0
"AI22_node_1755";0;1;0;0;0;1;0;1;0;0;0;0
"AI22_node_222";1;0;0;0;0;0;1;0;0;0;0;0
"AI22_node_2886";0;0;0;0;0;0;0;1;0;0;1;1
"AI22_node_945";0;0;1;0;0;0;0;0;1;0;0;0
"AI22_node_2858";0;0;1;0;0;0;0;1;0;1;0;0
