"";"P22_node_14072";"P22_node_14009";"P22_node_5354";"P22_node_11502";"P22_node_14048";"P22_node_14073";"P22_node_14108";"P22_node_14013";"P22_node_14109";"P22_node_14110";"P22_node_14111";"P22_node_14112";"P22_node_14113";"P22_node_14114";"P22_node_6859";"P22_node_14016";"P22_node_14075";"P22_node_14115";"P22_node_10356";"P22_node_10357";"P22_node_10358";"P22_node_12324";"P22_node_13859";"P22_node_14095";"P22_node_5142";"P22_node_10492";"P22_node_14116";"P22_node_14117";"P22_node_14118";"P22_node_14079";"P22_node_7099";"P22_node_14080";"P22_node_14023";"P22_node_14024";"P22_node_14119";"P22_node_14081";"P22_node_14025";"P22_node_14120";"P22_node_14121";"P22_node_14029";"P22_node_14092";"P22_node_14063";"P22_node_14031";"P22_node_14064";"P22_node_14032";"P22_node_14122";"P22_node_14123";"P22_node_13865";"P22_node_10823";"P22_node_14065";"P22_node_14124";"P22_node_5210";"P22_node_7077";"P22_node_12799";"P22_node_12800";"P22_node_14125";"P22_node_11102";"P22_node_7294";"P22_node_14126";"P22_node_14086";"P22_node_13532";"P22_node_13383";"P22_node_13453";"P22_node_13411";"P22_node_13472";"P22_node_6883";"P22_node_14127";"P22_node_6885";"P22_node_12824";"P22_node_13867";"P22_node_14128";"P22_node_10966";"P22_node_9475";"P22_node_14089";"P22_node_8628"
"P22_node_2374";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3874";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3892";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3863";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3893";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"P22_node_3086";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2170";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_558";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3869";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_3883";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
